"","names","interval","lower","upper","NA","NA"
"X95..7","SRS_Marsh_Dry.E.glo1","95%",1.61390168130131,5.10375918396769,NA,NA
"X50..7","SRS_Marsh_Dry.E.glo1","50%",2.2842224399848,3.36045202569863,NA,NA
"X99..8","SRS_Marsh_Dry.E.suc1","99%",0.27726037709975,3.05215580436582,NA,NA
"X95..8","SRS_Marsh_Dry.E.suc1","95%",0.357255630386462,2.12747867785813,NA,NA
"X50..8","SRS_Marsh_Dry.E.suc1","50%",0.596854575099378,1.08492418184749,NA,NA
"X99..9","SRS_Marsh_Dry.ERYSIM","99%",0.1981580784315,2.20440030353839,NA,NA
"X95..9","SRS_Marsh_Dry.ERYSIM","95%",0.259427341322621,1.52413785327865,NA,NA
"X50..9","SRS_Marsh_Dry.ERYSIM","50%",0.422149815805312,0.772678239837465,NA,NA
"X99..10","SRS_Marsh_Dry.F.chr1","99%",2.09918495596834,10.3409254587641,NA,NA
"X95..10","SRS_Marsh_Dry.F.chr1","95%",2.50611813036093,8.26675627185594,NA,NA
"X50..10","SRS_Marsh_Dry.F.chr1","50%",3.61293130478294,5.39111901606059,NA,NA
"X99..11","SRS_Marsh_Dry.F.chr2","99%",1.29552892416842,8.50479607413286,NA,NA
"X95..11","SRS_Marsh_Dry.F.chr2","95%",1.66714131224914,6.50647260416815,NA,NA
"X50..11","SRS_Marsh_Dry.F.chr2","50%",2.60397394552088,4.06085575924054,NA,NA
"X99..12","SRS_Marsh_Dry.F.con1","99%",0.492538048360871,30.3183723456988,NA,NA
"X95..12","SRS_Marsh_Dry.F.con1","95%",0.877194113843238,16.2915197821981,NA,NA
"X50..12","SRS_Marsh_Dry.F.con1","50%",2.2367481846612,5.53172946986344,NA,NA
"X99..13","SRS_Marsh_Dry.FLOC","99%",0.0875876473399268,4.92502081872203,NA,NA
"X95..13","SRS_Marsh_Dry.FLOC","95%",0.150724414110104,2.60253158999054,NA,NA
"X50..13","SRS_Marsh_Dry.FLOC","50%",0.362394638073541,0.884564446469831,NA,NA
"X99..14","SRS_Marsh_Dry.G.hol1","99%",0.345704674551993,2.11180884804282,NA,NA
"X95..14","SRS_Marsh_Dry.G.hol1","95%",0.424368266576462,1.62630499138775,NA,NA
"X50..14","SRS_Marsh_Dry.G.hol1","50%",0.639904826838379,1.00018418639324,NA,NA
"X99..15","SRS_Marsh_Dry.G.hol2","99%",1.24308429583765,3.3726894076234,NA,NA
"X95..15","SRS_Marsh_Dry.G.hol2","95%",1.39421794955133,2.94640513328181,NA,NA
"X50..15","SRS_Marsh_Dry.G.hol2","50%",1.77065879014763,2.28321615127253,NA,NA
"X99..16","SRS_Marsh_Dry.H.for2","99%",0.982518190208204,6.46011280578694,NA,NA
"X95..16","SRS_Marsh_Dry.H.for2","95%",1.19389167604264,4.94591708717847,NA,NA
"X50..16","SRS_Marsh_Dry.H.for2","50%",1.82023916970749,2.94089627076604,NA,NA
"X99..17","SRS_Marsh_Dry.H.let1","99%",1.3252619393336,2.83952263913349,NA,NA
"X95..17","SRS_Marsh_Dry.H.let1","95%",1.44090663512948,2.57079589338426,NA,NA
"X50..17","SRS_Marsh_Dry.H.let1","50%",1.72672057502722,2.10870467031753,NA,NA
"X99..18","SRS_Marsh_Dry.H.lit1","99%",0.715079956015267,11.3373149541403,NA,NA
"X95..18","SRS_Marsh_Dry.H.lit1","95%",0.984163062788368,7.52712280385057,NA,NA
"X50..18","SRS_Marsh_Dry.H.lit1","50%",1.80297596343672,3.51064167498602,NA,NA
"X99..19","SRS_Marsh_Dry.J.flo2","99%",0.606695862502293,12.8402027804745,NA,NA
"X95..19","SRS_Marsh_Dry.J.flo2","95%",0.830230969843209,8.24135658068877,NA,NA
"X50..19","SRS_Marsh_Dry.J.flo2","50%",1.5980903165045,3.40225685420852,NA,NA
"X99..20","SRS_Marsh_Dry.L.goo1","99%",1.35848921068471,4.90394224396555,NA,NA
"X95..20","SRS_Marsh_Dry.L.goo1","95%",1.60206223480136,4.12720399083035,NA,NA
"X50..20","SRS_Marsh_Dry.L.goo1","50%",2.18178387667263,3.00334827524714,NA,NA
"X99..21","SRS_Marsh_Dry.L.goo2","99%",1.6534464689904,4.3809181847433,NA,NA
"X95..21","SRS_Marsh_Dry.L.goo2","95%",1.8657158484324,3.85630431105721,NA,NA
"X50..21","SRS_Marsh_Dry.L.goo2","50%",2.354194542326,3.01490924265286,NA,NA
"X99..22","SRS_Marsh_Dry.L.mar1","99%",0.773323235148374,7.02825515540601,NA,NA
"X95..22","SRS_Marsh_Dry.L.mar1","95%",0.972401677254186,5.02362524505362,NA,NA
"X50..22","SRS_Marsh_Dry.L.mar1","50%",1.56426495000057,2.70871990900862,NA,NA
"X99..23","SRS_Marsh_Dry.L.pun2","99%",0.583506357724699,3.83283825285328,NA,NA
"X95..23","SRS_Marsh_Dry.L.pun2","95%",0.70882030656627,2.91318556342623,NA,NA
"X50..23","SRS_Marsh_Dry.L.pun2","50%",1.06983632475183,1.72258698058249,NA,NA
"X99..24","SRS_Marsh_Dry.N.flo1","99%",0.779733073761496,17.1255629979021,NA,NA
"X95..24","SRS_Marsh_Dry.N.flo1","95%",1.05657760996935,10.4816046146396,NA,NA
"X50..24","SRS_Marsh_Dry.N.flo1","50%",2.05926810017662,4.36477728197882,NA,NA
"X99..25","SRS_Marsh_Dry.N.gyr1","99%",0.0288252072308197,1.54914135032159,NA,NA
"X95..25","SRS_Marsh_Dry.N.gyr1","95%",0.0514524780739919,0.848982783091798,NA,NA
"X50..25","SRS_Marsh_Dry.N.gyr1","50%",0.11721223688457,0.286019897181769,NA,NA
"X99..26","SRS_Marsh_Dry.N.vir1","99%",0.658260467691961,31.2562625178443,NA,NA
"X95..26","SRS_Marsh_Dry.N.vir1","95%",1.06262957350256,17.1461059886259,NA,NA
"X50..26","SRS_Marsh_Dry.N.vir1","50%",2.31361130163928,5.73002800364982,NA,NA
"X99..27","SRS_Marsh_Dry.PALPAL","99%",0.146659510176978,1.62989324150004,NA,NA
"X95..27","SRS_Marsh_Dry.PALPAL","95%",0.184204274137568,1.10992342285679,NA,NA
"X50..27","SRS_Marsh_Dry.PALPAL","50%",0.309322852536654,0.559683282794725,NA,NA
"X99..28","SRS_Marsh_Dry.PELFEM","99%",0.64649706180401,2.39677340246272,NA,NA
"X95..28","SRS_Marsh_Dry.PELFEM","95%",0.738804524530336,2.00066063723784,NA,NA
"X50..28","SRS_Marsh_Dry.PELFEM","50%",1.00076794758343,1.40244024229698,NA,NA
"X99..29","SRS_Marsh_Dry.PERMAT","99%",0.286278727512748,6.12418350696324,NA,NA
"X95..29","SRS_Marsh_Dry.PERMAT","95%",0.384402188995578,3.7235129531881,NA,NA
"X50..29","SRS_Marsh_Dry.PERMAT","50%",0.720807475081547,1.54271208020826,NA,NA
"X99..30","SRS_Marsh_Dry.PLASCA","99%",0.869292410138352,51.2273757719673,NA,NA
"X95..30","SRS_Marsh_Dry.PLASCA","95%",1.58139063682036,28.1512755672692,NA,NA
"X50..30","SRS_Marsh_Dry.PLASCA","50%",3.84520246300157,9.40947527268601,NA,NA
"X99..31","SRS_Marsh_Dry.PROALL","99%",0.825417779219128,5.40860872076842,NA,NA
"X95..31","SRS_Marsh_Dry.PROALL","95%",0.990841556253309,4.05918412973525,NA,NA
"X50..31","SRS_Marsh_Dry.PROALL","50%",1.50130472130308,2.41788679829861,NA,NA
"X99..32","SRS_Marsh_Dry.R.gry1","99%",1.1646787451832,7.54945260683521,7.71945468637081,7.91328772975117
"X95..32","SRS_Marsh_Dry.R.gry1","95%",1.42569955653147,5.82457705200579,NA,NA
"X50..32","SRS_Marsh_Dry.R.gry1","50%",2.15550690308614,3.4628031771591,NA,NA
"X99..33","SRS_Marsh_Dry.S.lac1","99%",0.907467774741291,6.89685644264985,NA,NA
"X95..33","SRS_Marsh_Dry.S.lac1","95%",1.12408411781282,5.11162102646383,NA,NA
"X50..33","SRS_Marsh_Dry.S.lac1","50%",1.74522906711928,2.91431939471658,NA,NA
"X99..34","SRS_Marsh_Dry.T.mar1","99%",1.42122738729728,21.7795304108745,22.5185598639437,23.150363902035
"X95..34","SRS_Marsh_Dry.T.mar1","95%",1.97611621460853,14.8393333942351,NA,NA
"X50..34","SRS_Marsh_Dry.T.mar1","50%",3.54992657756131,6.89642818563883,NA,NA
"X99..35","SRS_Marsh_Wet.A.nat4","99%",0.165130546279022,8.50720657417014,NA,NA
"X95..35","SRS_Marsh_Wet.A.nat4","95%",0.272126789919301,4.47470072414932,NA,NA
"X50..35","SRS_Marsh_Wet.A.nat4","50%",0.621183657776822,1.52691380656507,NA,NA
"X99..36","SRS_Marsh_Wet.BELSPP","99%",0.743525450743465,8.02556608463793,NA,NA
"X95..36","SRS_Marsh_Wet.BELSPP","95%",0.934156561075255,5.54707290107008,NA,NA
"X50..36","SRS_Marsh_Wet.BELSPP","50%",1.55898857471268,2.84487415428186,NA,NA
"X99..37","SRS_Marsh_Wet.C.bat1","99%",1.72625075313387,8.7897542327401,NA,NA
"X95..37","SRS_Marsh_Wet.C.bat1","95%",2.06783025391259,6.96222781536715,NA,NA
"X50..37","SRS_Marsh_Wet.C.bat1","50%",2.9793972203539,4.47275029509007,NA,NA
"X99..38","SRS_Marsh_Wet.C.und1","99%",0.0907386560674576,0.594711722594908,NA,NA
"X95..38","SRS_Marsh_Wet.C.und1","95%",0.109720510199884,0.450690116510129,NA,NA
"X50..38","SRS_Marsh_Wet.C.und1","50%",0.166979610028329,0.268474729210405,NA,NA
"X99..39","SRS_Marsh_Wet.C.uro1","99%",1.55320920369745,10.5363853309398,NA,NA
"X95..39","SRS_Marsh_Wet.C.uro1","95%",1.93829672702332,7.98248289685565,NA,NA
"X50..39","SRS_Marsh_Wet.C.uro1","50%",2.98428120868633,4.77737487719859,NA,NA
"X99..40","SRS_Marsh_Wet.C.uro2","99%",0.851755461050091,7.76445402325467,NA,NA
"X95..40","SRS_Marsh_Wet.C.uro2","95%",1.0862285312555,5.62121037111844,NA,NA
"X50..40","SRS_Marsh_Wet.C.uro2","50%",1.77620212312577,3.0698703203782,NA,NA
"X99..41","SRS_Marsh_Wet.CELSPP","99%",0.0278365930897643,0.368916331548425,0.377506789503755,0.387648086999608
"X95..41","SRS_Marsh_Wet.CELSPP","95%",0.0349169563716549,0.248364986155484,NA,NA
"X50..41","SRS_Marsh_Wet.CELSPP","50%",0.0596298048465385,0.116356501568025,NA,NA
"X99..42","SRS_Marsh_Wet.CHIRON","99%",0.561255609804538,48.0111967770624,NA,NA
"X95..42","SRS_Marsh_Wet.CHIRON","95%",1.27877254698732,25.3687157438208,NA,NA
"X50..42","SRS_Marsh_Wet.CHIRON","50%",3.52092324362378,8.62893289066893,NA,NA
"X99..43","SRS_Marsh_Wet.COENAG","99%",0.261381441930431,2.28028379784043,NA,NA
"X95..43","SRS_Marsh_Wet.COENAG","95%",0.318890495247569,1.6391571537931,NA,NA
"X50..43","SRS_Marsh_Wet.COENAG","50%",0.514546761435089,0.890330792089803,NA,NA
"X99..44","SRS_Marsh_Wet.COPEPOD","99%",0.594056312196527,14.0385116057345,NA,NA
"X95..44","SRS_Marsh_Wet.COPEPOD","95%",0.851807077701732,8.67098702182767,NA,NA
"X50..44","SRS_Marsh_Wet.COPEPOD","50%",1.63491931047461,3.51167316208169,NA,NA
"X99..45","SRS_Marsh_Wet.E.eve1","99%",0.227747299679566,2.40560621606284,NA,NA
"X95..45","SRS_Marsh_Wet.E.eve1","95%",0.283164606043377,1.6905082013492,NA,NA
"X50..45","SRS_Marsh_Wet.E.eve1","50%",0.470297420166052,0.854640583452294,NA,NA
"X99..46","SRS_Marsh_Wet.E.glo1","99%",0.45992833894768,6.7996810206067,NA,NA
"X95..46","SRS_Marsh_Wet.E.glo1","95%",0.612822712263581,4.47333314526406,NA,NA
"X50..46","SRS_Marsh_Wet.E.glo1","50%",1.06127841585781,2.06270541081112,NA,NA
"X99..47","SRS_Marsh_Wet.E.suc1","99%",0.587139997213247,13.4448080274289,NA,NA
"X95..47","SRS_Marsh_Wet.E.suc1","95%",0.813105663583348,8.2583386301193,NA,NA
"X50..47","SRS_Marsh_Wet.E.suc1","50%",1.58941541615991,3.39958412569427,NA,NA
"X99..48","SRS_Marsh_Wet.F.chr1","99%",0.921524226348651,3.52743730152452,NA,NA
"X95..48","SRS_Marsh_Wet.F.chr1","95%",1.07428124262294,2.90131049677793,NA,NA
"X50..48","SRS_Marsh_Wet.F.chr1","50%",1.46012326760246,2.04364906890482,NA,NA
"X99..49","SRS_Marsh_Wet.F.chr2","99%",0.406055376069835,2.22268375204099,NA,NA
"X95..49","SRS_Marsh_Wet.F.chr2","95%",0.490338229787514,1.74085620143883,NA,NA
"X50..49","SRS_Marsh_Wet.F.chr2","50%",0.711739277385695,1.09236767766019,NA,NA
"X99..50","SRS_Marsh_Wet.FLOC","99%",0.161994573596265,3.81549361519175,NA,NA
"X95..50","SRS_Marsh_Wet.FLOC","95%",0.231068032241779,2.29670496872355,NA,NA
"X50..50","SRS_Marsh_Wet.FLOC","50%",0.446406905947914,0.946622306258485,NA,NA
"X99..51","SRS_Marsh_Wet.G.hol1","99%",0.748084835230409,2.40969483315586,NA,NA
"X95..51","SRS_Marsh_Wet.G.hol1","95%",0.848702231020999,2.06624708628969,NA,NA
"X50..51","SRS_Marsh_Wet.G.hol1","50%",1.12386568333705,1.51512596430246,NA,NA
"X99..52","SRS_Marsh_Wet.G.hol2","99%",0.583634095071316,1.36077667971898,NA,NA
"X95..52","SRS_Marsh_Wet.G.hol2","95%",0.645931228844881,1.22006116189589,NA,NA
"X50..52","SRS_Marsh_Wet.G.hol2","50%",0.788161404088422,0.979852194232138,NA,NA
"X99..53","SRS_Marsh_Wet.H.for1","99%",0.28122977422965,1.92514002170314,NA,NA
"X95..53","SRS_Marsh_Wet.H.for1","95%",0.354152911352556,1.46383172629137,NA,NA
"X50..53","SRS_Marsh_Wet.H.for1","50%",0.54440555473419,0.874706635691555,NA,NA
"X99..54","SRS_Marsh_Wet.H.for2","99%",0.579753053229143,9.14200131891828,NA,NA
"X95..54","SRS_Marsh_Wet.H.for2","95%",0.808106266096797,6.03685933312144,NA,NA
"X50..54","SRS_Marsh_Wet.H.for2","50%",1.45256550755869,2.81172058319049,NA,NA
"X99..55","SRS_Marsh_Wet.H.let1","99%",1.68863961480303,3.78049358296513,NA,NA
"X95..55","SRS_Marsh_Wet.H.let1","95%",1.85049318391395,3.40572899759254,NA,NA
"X50..55","SRS_Marsh_Wet.H.let1","50%",2.24350715460192,2.76146139566065,NA,NA
"X99..56","SRS_Marsh_Wet.J.flo1","99%",1.20751511361609,13.6008094134642,NA,NA
"X95..56","SRS_Marsh_Wet.J.flo1","95%",1.55972458436506,9.34944802045005,NA,NA
"X50..56","SRS_Marsh_Wet.J.flo1","50%",2.59956846507896,4.72510587568805,NA,NA
"X99..57","SRS_Marsh_Wet.J.flo2","99%",1.18934239672636,18.4583195437874,NA,NA
"X95..57","SRS_Marsh_Wet.J.flo2","95%",1.63760037911153,12.0964605543905,NA,NA
"X50..57","SRS_Marsh_Wet.J.flo2","50%",2.9437670443119,5.71351150718717,NA,NA
"X99..58","SRS_Marsh_Wet.L.goo1","99%",2.35055846788156,6.89665771548906,NA,NA
"X95..58","SRS_Marsh_Wet.L.goo1","95%",2.6397024288179,5.98375747378209,NA,NA
"X50..58","SRS_Marsh_Wet.L.goo1","50%",3.39966194680496,4.49968604157982,NA,NA
"X99..59","SRS_Marsh_Wet.L.goo2","99%",3.64231516729617,7.68578077994315,NA,NA
"X95..59","SRS_Marsh_Wet.L.goo2","95%",3.96995647427735,6.95814108631413,NA,NA
"X50..59","SRS_Marsh_Wet.L.goo2","50%",4.76029737343718,5.76772163195851,NA,NA
"X99..60","SRS_Marsh_Wet.L.mac1","99%",1.10720875654195,3.84089665363044,NA,NA
"X95..60","SRS_Marsh_Wet.L.mac1","95%",1.27316277704576,3.24274789483904,NA,NA
"X50..60","SRS_Marsh_Wet.L.mac1","50%",1.6883985783929,2.32252740036446,NA,NA
"X99..61","SRS_Marsh_Wet.L.mar1","99%",1.17983916643862,12.8880633998558,NA,NA
"X95..61","SRS_Marsh_Wet.L.mar1","95%",1.46183276821262,8.89768755431365,NA,NA
"X50..61","SRS_Marsh_Wet.L.mar1","50%",2.49610672172007,4.53725204448225,NA,NA
"X99..62","SRS_Marsh_Wet.L.mic1","99%",0.473320794824854,26.7936653369663,NA,NA
"X95..62","SRS_Marsh_Wet.L.mic1","95%",0.864591595199772,14.0854488917623,NA,NA
"X50..62","SRS_Marsh_Wet.L.mic1","50%",1.9364372165684,4.78342474394757,NA,NA
"X99..63","SRS_Marsh_Wet.L.mic2","99%",1.09920161814882,16.0048036305583,NA,NA
"X95..63","SRS_Marsh_Wet.L.mic2","95%",1.41925305215835,10.4627495433398,NA,NA
"X50..63","SRS_Marsh_Wet.L.mic2","50%",2.49997038448967,4.87220081037967,NA,NA
"X99..64","SRS_Marsh_Wet.L.pun2","99%",0.805949676281211,11.2462500213514,NA,NA
"X95..64","SRS_Marsh_Wet.L.pun2","95%",1.02934232793587,7.50188247975156,NA,NA
"X50..64","SRS_Marsh_Wet.L.pun2","50%",1.76640819616621,3.45120572189597,NA,NA
"X99..65","SRS_Marsh_Wet.LIBINC","99%",0.00276393358183831,0.114779216865139,NA,NA
"X95..65","SRS_Marsh_Wet.LIBINC","95%",0.00412603737293738,0.0622008887983607,NA,NA
"X50..65","SRS_Marsh_Wet.LIBINC","50%",0.00833600914605026,0.0206575819630497,NA,NA
"X99..66","SRS_Marsh_Wet.M.sia1","99%",0.143809066267065,7.10613158883237,NA,NA
"X95..66","SRS_Marsh_Wet.M.sia1","95%",0.238294173990701,3.76580978726424,NA,NA
"X50..66","SRS_Marsh_Wet.M.sia1","50%",0.510996837159812,1.2712866209658,NA,NA
"X99..67","SRS_Marsh_Wet.MELTUB","99%",0.170890861141388,3.61862723532199,NA,NA
"X95..67","SRS_Marsh_Wet.MELTUB","95%",0.230797278408344,2.19749679029854,NA,NA
"X50..67","SRS_Marsh_Wet.MELTUB","50%",0.424362559436551,0.90885401850745,NA,NA
"X99..68","SRS_Marsh_Wet.O.aur1","99%",2.38934061694618,7.7138379663958,NA,NA
"X95..68","SRS_Marsh_Wet.O.aur1","95%",2.69997145502626,6.5931760391463,NA,NA
"X50..68","SRS_Marsh_Wet.O.aur1","50%",3.5445216700757,4.80554452601626,NA,NA
"X99..69","SRS_Marsh_Wet.P.lat2","99%",0.185460489565575,1.43901045292923,NA,NA
"X95..69","SRS_Marsh_Wet.P.lat2","95%",0.233360222039077,1.06247420952231,NA,NA
"X50..69","SRS_Marsh_Wet.P.lat2","50%",0.366768832874131,0.610507331023874,NA,NA
"X99..70","SRS_Marsh_Wet.PALPAL","99%",0.662024928387377,3.666082680708,NA,NA
"X95..70","SRS_Marsh_Wet.PALPAL","95%",0.800936985217092,2.84628906605347,NA,NA
"X50..70","SRS_Marsh_Wet.PALPAL","50%",1.16609109233438,1.79299340257037,NA,NA
"X99..71","SRS_Marsh_Wet.PELFEM","99%",1.16193366074411,13.498767452319,NA,NA
"X95..71","SRS_Marsh_Wet.PELFEM","95%",1.5364946622703,9.22042499335105,NA,NA
"X50..71","SRS_Marsh_Wet.PELFEM","50%",2.59844062687014,4.76469502623257,NA,NA
"X99..72","SRS_Marsh_Wet.PERMAT","99%",0.713362795342423,34.1294237175776,36.5214931071421,37.1120104829152
"X95..72","SRS_Marsh_Wet.PERMAT","95%",1.12823901802281,18.6260158819765,NA,NA
"X50..72","SRS_Marsh_Wet.PERMAT","50%",2.56107229033743,6.31342120495459,NA,NA
"X99..73","SRS_Marsh_Wet.PROFAL","99%",0.39678028741071,5.50931227461867,NA,NA
"X95..73","SRS_Marsh_Wet.PROFAL","95%",0.505347295099085,3.57729339313858,NA,NA
"X50..73","SRS_Marsh_Wet.PROFAL","50%",0.855390353740321,1.67284466153541,NA,NA
"X99..74","SRS_Marsh_Wet.PROSPP","99%",0.159835354317472,3.61548886637981,NA,NA
"X95..74","SRS_Marsh_Wet.PROSPP","95%",0.222852582800619,2.19920562414176,NA,NA
"X50..74","SRS_Marsh_Wet.PROSPP","50%",0.428558781113238,0.910112811650027,NA,NA
"X99..75","SRS_NP_Dry.E.eve1","99%",1.22300429550904,9.49644790856253,NA,NA
"X95..75","SRS_NP_Dry.E.eve1","95%",1.5320798023109,7.01014531900445,NA,NA
"X50..75","SRS_NP_Dry.E.eve1","50%",2.41939513859658,4.00644939712416,NA,NA
"X99..76","SRS_NP_Dry.E.glo1","99%",0.669369391518567,6.2677334299821,NA,NA
"X95..76","SRS_NP_Dry.E.glo1","95%",0.858474818843524,4.43716536333148,NA,NA
"X50..76","SRS_NP_Dry.E.glo1","50%",1.4040746243266,2.43686567992253,NA,NA
"X99..77","SRS_NP_Dry.F.chr1","99%",2.4525186164309,10.5584079005567,NA,NA
"X95..77","SRS_NP_Dry.F.chr1","95%",2.85419232307953,8.60507828490362,NA,NA
"X50..77","SRS_NP_Dry.F.chr1","50%",3.96947577193464,5.76524667846047,NA,NA
"X99..78","SRS_NP_Dry.F.chr2","99%",0.0845418232921749,3.92736251782748,NA,NA
"X95..78","SRS_NP_Dry.F.chr2","95%",0.128219425523926,2.15694337944517,NA,NA
"X50..78","SRS_NP_Dry.F.chr2","50%",0.288551489855668,0.708635492113386,NA,NA
"X99..79","SRS_NP_Dry.FLOC","99%",0.0387934635396684,0.812217317159278,NA,NA
"X95..79","SRS_NP_Dry.FLOC","95%",0.050931604538632,0.502040408961641,NA,NA
"X50..79","SRS_NP_Dry.FLOC","50%",0.0943819023024615,0.204296821039473,NA,NA
"X99..80","SRS_NP_Dry.G.hol1","99%",0.448363846434515,2.72022476092337,NA,NA
"X95..80","SRS_NP_Dry.G.hol1","95%",0.544790835216765,2.07168863825456,NA,NA
"X50..80","SRS_NP_Dry.G.hol1","50%",0.815063046317503,1.28025543133237,NA,NA
"X99..81","SRS_NP_Dry.G.hol2","99%",1.69574068261461,4.7398398192708,NA,NA
"X95..81","SRS_NP_Dry.G.hol2","95%",1.92170976384342,4.13287499016653,NA,NA
"X50..81","SRS_NP_Dry.G.hol2","50%",2.45659793042527,3.17895406523034,NA,NA
"X99..82","SRS_NP_Dry.H.for1","99%",0.273824834777897,5.4684209843636,5.51193524875289,5.84969912383867
"X95..82","SRS_NP_Dry.H.for1","95%",0.369462031280025,3.52759233684184,NA,NA
"X50..82","SRS_NP_Dry.H.for1","50%",0.662541000466191,1.42608094342046,NA,NA
"X99..83","SRS_NP_Dry.H.for2","99%",0.456166159633005,5.07183296666452,NA,NA
"X95..83","SRS_NP_Dry.H.for2","95%",0.591256752447435,3.49135717450283,NA,NA
"X50..83","SRS_NP_Dry.H.for2","50%",0.977120770512351,1.77999726515766,NA,NA
"X99..84","SRS_NP_Dry.L.goo1","99%",0.608075146738397,4.05066843079406,NA,NA
"X95..84","SRS_NP_Dry.L.goo1","95%",0.741059610097011,3.04131601372742,NA,NA
"X50..84","SRS_NP_Dry.L.goo1","50%",1.11144175290864,1.78894455015661,NA,NA
"X99..85","SRS_NP_Dry.L.goo2","99%",1.5767136312503,5.11262988118575,NA,NA
"X95..85","SRS_NP_Dry.L.goo2","95%",1.78111706003171,4.33881842792378,NA,NA
"X50..85","SRS_NP_Dry.L.goo2","50%",2.34644660342034,3.17275849474529,NA,NA
"X99..86","SRS_NP_Dry.L.mar1","99%",0.806254476075722,9.03897237094446,NA,NA
"X95..86","SRS_NP_Dry.L.mar1","95%",1.04002571181495,6.2165483767628,NA,NA
"X50..86","SRS_NP_Dry.L.mar1","50%",1.73673525024095,3.15273694279589,NA,NA
"X99..87","SRS_NP_Dry.P.lat2","99%",0.730291199147106,7.94129833857957,NA,NA
"X95..87","SRS_NP_Dry.P.lat2","95%",0.923704418554678,5.49645929116824,NA,NA
"X50..87","SRS_NP_Dry.P.lat2","50%",1.53705071623549,2.80464961075868,NA,NA
"X99..88","SRS_NP_Dry.PALPAL","99%",0.204615937685842,2.16012554486335,2.24717270297129,2.29871854083809
"X95..88","SRS_NP_Dry.PALPAL","95%",0.258957111678373,1.51207328166241,NA,NA
"X50..88","SRS_NP_Dry.PALPAL","50%",0.42516227383706,0.772963883624296,NA,NA
"X99..89","SRS_NP_Dry.PROFAL","99%",0.33133324546074,2.51209119179853,NA,NA
"X95..89","SRS_NP_Dry.PROFAL","95%",0.406672720613895,1.85092264434299,NA,NA
"X50..89","SRS_NP_Dry.PROFAL","50%",0.631823983728183,1.05287738193992,NA,NA
"X99..90","SRS_NP_Wet.BELSPP","99%",0.556546270120981,8.20348656297793,NA,NA
"X95..90","SRS_NP_Wet.BELSPP","95%",0.744220188146145,5.41900149287523,NA,NA
"X50..90","SRS_NP_Wet.BELSPP","50%",1.28249736774465,2.50078105032165,NA,NA
"X99..91","SRS_NP_Wet.COENAG","99%",0.186553438831838,2.55568725604724,NA,NA
"X95..91","SRS_NP_Wet.COENAG","95%",0.238278490361909,1.6882367123563,NA,NA
"X50..91","SRS_NP_Wet.COENAG","50%",0.405473696872325,0.788426780961664,NA,NA
"X99..92","SRS_NP_Wet.E.eve1","99%",0.776145413969515,2.37143449144833,NA,NA
"X95..92","SRS_NP_Wet.E.eve1","95%",0.877199986309427,2.02427274638618,NA,NA
"X50..92","SRS_NP_Wet.E.eve1","50%",1.13632834911235,1.51427549855408,NA,NA
"X99..93","SRS_NP_Wet.F.chr1","99%",0.0732524226369391,3.94163023984055,NA,NA
"X95..93","SRS_NP_Wet.F.chr1","95%",0.125862947415502,2.04456656300565,NA,NA
