"","Slough","Species","Amphipoda_mean","Araneae_mean","Argulus_mean","Belo.Naucor_mean","Centrarchid_mean","Chironomid_mean","Cladocera_mean","Coleoptera_mean","Collembola_mean","Copepoda_mean","Cyprinodontid_mean","Detritus_mean","Diptera_mean","Empty_mean","Ephemeroptera_mean","Green.Algae_mean","Hemiptera_mean","Hydrachnidia_mean","Hymenoptera_mean","Misc_mean","Misc.Fish_mean","Misc.Invert_mean","Mollusca_mean","Odonata_mean","Oligochaeta_mean","Ostracoda_mean","Palaemonetes_mean","Periphyton_mean","Procambarus_mean","Trichoptera_mean"
"51","TSL","ENNGLO",4,0,0,0,0,4,4,0,0,4,0,4,0,0,0,0,4,0,0,0,0,4,4,4,0,4,4,0,0,0
"52","TSL","FUNCHR",0,4,0,0,0,4,4,4,0,4,0,0,4,0,0,0,4,4,0,0,4,4,4,4,4,4,4,0,0,0
"53","TSL","GAMHOL",4,4,4,4,0,4,4,4,4,0,0,4,4,0,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4
"54","TSL","HETFOR",4,0,0,0,0,4,4,4,4,4,0,4,0,0,0,4,4,4,0,0,0,4,0,4,0,4,0,4,0,0
"55","TSL","LABSIC",0,4,0,0,0,4,4,0,4,0,0,4,4,0,0,0,0,4,4,0,0,4,0,4,0,4,0,0,0,0
"56","TSL","LEPGUL",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"57","TSL","LEPMAC",0,4,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,4,0,4,0,4,0,0,0,0
"58","TSL","LEPMAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"59","TSL","LEPMIC",4,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,4,0,0
"60","TSL","LUCGOO",4,0,0,0,0,4,4,4,4,4,0,4,0,0,0,0,4,4,0,4,0,4,4,4,0,4,4,4,0,4
"61","TSL","MACSIA",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"62","TSL","MENBER",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,4,0,4,0,0
"63","TSL","MICSAL",0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,4,4,4,0,4,4,0,4,0,0,0
"64","TSL","MONALB",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,4,0,0,0,0,0,0
"65","TSL","NOTPET",4,0,0,0,0,4,4,0,4,0,0,4,0,0,0,4,0,4,0,4,4,4,0,0,0,4,0,0,0,0
"66","TSL","POELAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"67","TSL","TILMAR",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,4,4,0,0,0,4,0,4,0,0
