Month,Year,Slough,Site,Habitat,Species,ID,Count,COMMENTS,Processed,-80 Freezer,Freeze Drier,Dried,Isotope
APR,2019,TSL,AHMDB,MARSH,OSTRACOD,Mi62,142,,Y,Y,Y,Y,N
APR,2019,TSL,AHMDB,MARSH,AMPHIPOD,Mi63,7,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,CORIXI,Mi64,3,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,CHIRON,Mi65,13,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,LITMON,Mi66,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,COPEPOD,Mi67,27,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,BLUE MITE,Mi68,24,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,CLADOCERA,Mi69,29,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,BIVALVE,Mi70,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,MARSH,DIPUP,Mi71,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,POND,AMPHIPOD,Mi72,4,,Y,N,N,N,N
APR,2019,TSL,AHMDB,POND,COPEPOD,Mi73,5,,Y,N,N,N,N
APR,2019,TSL,AHMDB,POND,OSTRACOD,Mi74,250,,Y,Y,Y,Y,N
APR,2019,TSL,AHMDB,POND,DIPUP,Mi75,1,,Y,N,N,N,N
APR,2019,TSL,AHMDB,POND,BLUE MITE,Mi76,31,,Y,Y,Y,Y,N
APR,2019,TSL,AHMDB,POND,CHIRON,Mi77,4,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,OSTRACOD,Mi78**,182,**SAME AS Mi78,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,OSTRACOD,Mi79**,,**SAME AS Mi78,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,AMPHIPOD,Mi80,83,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,BROWN MITE,Mi81,6,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,COPEPOD,Mi82,35,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,CHIRON,Mi83,33,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,CORIXI,Mi84,5,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,EPHEME,Mi85,2,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,UTRPUR,Mi86,1,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,BLUE MITE,Mi87,24,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,CLADOCERA,Mi88,120,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,MARSH,COENAG,Mi89,2,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,ORANGE MITE,Mi90,8,,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,PLASCA,Mi91,3,CHANGED FROM MACDIL,Y,N,N,N,N
APR,2019,TSL,AH5,MARSH,PALPAL,Mi92,1,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,ORANGE MITE,Mi93,1,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,BROWN MITE,Mi94,1,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,PLASCA,Mi95,2,CHANGED FROM MACDIL,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,BLUE MITE,Mi96,2,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,EPHEME,Mi97,1,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,AMPHIPOD,Mi98,15,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,CHIRON,Mi99,4,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,OSTRACOD,Mi100,13,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,COPEPOD,Mi101,14,,Y,N,N,N,N
APR,2019,TSL,AH2,MARSH,CLADOCERA,Mi102,38,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,NEAR POND,COPEPOD,Mi103,21,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,AMPHIPOD,Mi104,28,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,OSTRACOD,Mi105,12,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,PLASPP,Mi106,1,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,BLUE MITE,Mi107,40,,Y,Y,Y,Y,N
APR,2019,TSL,AH5,NEAR POND,CORIXI,Mi108,1,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,CHIRON,Mi109,10,,Y,N,N,N,N
APR,2019,TSL,AH5,NEAR POND,EPHEME,Mi110,2,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,CHIRON,Mi111,1,IN CACOON,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,PALPAL,Mi112,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,BLUE MITE,Mi113,12,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,OSTRACOD,Mi114**,327,**SAME AS Mi114,Y,Y,Y,Y,N
MAR,2019,SRS,AH11,POND,OSTRACOD,Mi115**,,**SAME AS Mi114,Y,Y,Y,Y,N
MAR,2019,SRS,AH11,POND,OSTRACOD,Mi116**,,**SAME AS Mi114,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,ROUND WORM,Mi117,2,,Y,N,N,N,N
MAR,2019,SRS,CATB,MARSH,OSTRACOD,Mi118,78,,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,AMPHIPOD,Mi119,11,,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,CELSPP,Mi120,1,,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,CHIRON,Mi121,14,,Y,N,N,N,N
MAR,2019,SRS,CATB,MARSH,DIPUP,Mi122,4,,Y,N,N,N,N
MAR,2019,SRS,CATB,MARSH,BLUE MITE,Mi123,10,,Y,N,N,N,N
MAR,2019,SRS,CATB,MARSH,EPHEME,Mi124,19,,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,COPEPOD,Mi125**,197,**SAME AS Mi125,Y,Y,Y,Y,N
MAR,2019,SRS,CATB,MARSH,COPEPOD,Mi126**,,**SAME AS Mi125,Y,Y,Y,Y,N
MAR,2019,SRS,AH11,POND,COPEPOD,Mi127,10,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,PLASCA,Mi128,1,CHANGED FROM MACDIL,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,LITMON,Mi129,5,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,FLATWORM,Mi130,10,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,BLUE MITE,Mi131,80,,Y,Y,Y,Y,N
MAR,2019,SRS,AHWG16,POND,CELSPP,Mi132,1,,Y,Y,Y,Y,N
MAR,2019,SRS,AHWG16,POND,CLADOCERA,Mi133,25,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,COPEPOD,Mi134,12,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,CHIRON,Mi135,29,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,POND,OSTRACOD,Mi136,107,,Y,Y,Y,Y,N
MAR,2019,SRS,AHWG16,POND,PACLON,Mi137,1,,Y,Y,Y,Y,N
MAR,2019,SRS,AHWG16,POND,EPHEME,Mi138,18,,Y,Y,Y,Y,N
MAR,2019,SRS,AHWG16,POND,MOLLUSC,Mi139,1,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,MARSH,CHIRON,Mi140,4,,Y,N,N,N,N
MAR,2019,SRS,AHWG16,MARSH,CLADOCERA,Mi141,1,,Y,N,N,N,N
MAR,2019,SRS,AH13,MARSH,CHIRON,Mi142,1,,Y,N,N,N,N
MAR,2019,SRS,AH13,NEAR POND,CLADOCERA,Mi143,8,CHANGED FROM CHIRON,Y,N,N,N,N
MAR,2019,SRS,AH13,NEAR POND,STRATI,Mi144,2,,Y,N,N,N,N
MAR,2019,SRS,AH13,NEAR POND,COPEPOD,Mi145,2,,Y,N,N,N,N
MAR,2019,SRS,AH13,POND,COPEPOD,Mi146**,182,**SAME AS Mi146,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,COPEPOD,Mi147**,,**SAME AS Mi146,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,CLADOCERA,Mi148,84,,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,EPHEME,Mi149,18,,Y,N,N,N,N
MAR,2019,SRS,AH13,POND,LITMON,Mi150,2,,Y,N,N,N,N
MAR,2019,SRS,AH13,POND,ROUND WORM,Mi151,3,,Y,N,N,N,N
MAR,2019,SRS,AH13,POND,OSTRACOD,Mi152**,395,**SAME AS Mi152,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,OSTRACOD,Mi153**,,**SAME AS Mi152,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,OSTRACOD,Mi154**,,**SAME AS Mi152,Y,Y,Y,Y,N
MAR,2019,SRS,AH13,POND,CHIRON,Mi155,3,,Y,N,N,N,N
MAR,2019,SRS,AH13,POND,BLUE MITE,Mi156,7,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,EPHEME,Mi157,2,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,CHIRON,Mi158,1,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,BLUE MITE,Mi159,3,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,CLADOCERA,Mi160,1,,Y,N,N,N,N
MAR,2019,SRS,CATB,POND,CHAOBO,Mi161,1,,Y,N,N,N,N
MAR,2019,SRS,LJB,POND,COPEPOD,Mi162,205,,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,POND,BLUE MITE,Mi163,3,,Y,N,N,N,N
MAR,2019,SRS,LJB,POND,CLADOCERA,Mi164,92,,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,POND,EPHEME,Mi165,10,,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,POND,OSTRACOD,Mi166**,91,**SAME AS Mi166,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,POND,OSTRACOD,Mi167**,,**SAME AS Mi166,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,POND,AMPHIPOD,Mi168,1,,Y,N,N,N,N
MAR,2019,SRS,LJB,POND,CHIRON,Mi169,1,,Y,N,N,N,N
MAR,2019,SRS,LJB,MARSH,PALPAL,Mi170,1,,Y,Y,Y,Y,N
MAR,2019,SRS,LJB,MARSH,CLADOCERA,Mi171,3,,Y,N,N,N,N
MAR,2019,SRS,LJB,MARSH,MOLLUSC,Mi172,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,MARSH,COENAG,Mi173,1,,Y,Y,Y,Y,N
MAR,2019,SRS,AH11,MARSH,AMPHIPOD,Mi174,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,MARSH,CHIRON,Mi175,6,,Y,N,N,N,N
MAR,2019,SRS,AH11,MARSH,COPEPOD,Mi176,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,MARSH,CLADOCERA,Mi177,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,MARSH,OSTRACOD,Mi178,2,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,FLATWORM,Mi179,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,CLADOCERA,Mi180,2,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,AMPHIPOD,Mi181,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,CHIRON,Mi182,1,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,APHPAC,Mi183,2,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,PLASCA,Mi184,2,,Y,N,N,N,N
MAR,2019,SRS,AH11,POND,EPHEME,Mi185,2,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,BLUE MITE,Mi186,16,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,BROWN MITE,Mi187,3,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,ORANGE MITE,Mi188,3,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,COPEPOD,Mi189,15,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,CHIRON,Mi190,8,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,CLADOCERA,Mi191,13,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,OSTRACOD,Mi192,6,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,AMPHIPOD,Mi193,6,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,COENAG,Mi194,1,,Y,N,N,N,N
DEC,2018,TSL,AH9,MARSH,DIPUP,Mi195,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,COPEPOD,Mi196,41,,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,UN ID LARVA,Mi197,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,AMPHIPOD,Mi198,42,,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,ODONATA,Mi199,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,CHIRON,Mi200,25,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,OSTRACOD,Mi201**,171,**SAME AS Mi201,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,OSTRACOD,Mi202**,,**SAME AS Mi201,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,OSTRACOD,Mi203**,,**SAME AS Mi201,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,OSTRACOD,Mi204**,,**SAME AS Mi201,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,OSTRACOD,Mi205**,,**SAME AS Mi201,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,BROWN MITE,Mi206,1,,N,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,CLADOCERA,Mi207,63,,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,BLUE MITE,Mi208,30,,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,ORANGE MITE,Mi209,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,CHIRON,Mi210,25,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,ROUND WORM,Mi211,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,CLADOCERA,Mi212**,63,**SAME AS Mi212,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,CLADOCERA,Mi213**,,**SAME AS Mi212,Y,Y,Y,Y,N
DEC,2018,TSL,AHMDB,MARSH,MOLLUSC,Mi214,1,,Y,N,N,N,N
DEC,2018,TSL,AHMDB,MARSH,EPHEME,Mi215,3,LARVAL,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,AMPHIPOD,Mi216,15,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,CLADOCERA,Mi217,3,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,TICK MITE,Mi218,1,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,CHIRON,Mi219,18,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,ORANGE MITE,Mi220,1,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,COLEOA,Mi221,1,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,RED MITE,Mi222,1,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,BLUE MITE,Mi223,24,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,OSTRACOD,Mi224,19,,Y,N,N,N,N
DEC,2018,TSL,AH2,MARSH,COPEPOD,Mi225,26,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,CHIRON,Mi226,3,IN CACOON,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,UN ID BUG,Mi227,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,BROWN MITE,Mi228,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,MELTUB,Mi229,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,SPHAER,Mi230,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,ORANGE MITE,Mi231,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,BLUE MITE,Mi232,40,,Y,Y,Y,Y,N
DEC,2018,TSL,AH5,NEAR POND,CHIRON,Mi233,10,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,EPHEME,Mi234,2,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,LONG ARMED BUG,Mi235,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,CLADOCERA,Mi236,22,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,COPEPOD,Mi237,21,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,OSTRACOD,Mi238,12,,Y,N,N,N,N
DEC,2018,TSL,AH5,NEAR POND,AMPHIPOD,Mi239**,28,**SAME AS Mi239,Y,Y,Y,Y,N
DEC,2018,TSL,AH5,NEAR POND,AMPHIPOD,Mi240**,,**SAME AS Mi239,Y,Y,Y,Y,N
DEC,2018,TSL,AH5,NEAR POND,TAPLOU,Mi241,1,,Y,Y,Y,Y,N
DEC,2018,TSL,AH5,POND,CLADOCERA,Mi242,3,,Y,N,N,N,N
DEC,2018,TSL,AH5,POND,CHIRON,Mi243,1,IN CACOON,Y,N,N,N,N
DEC,2018,TSL,AH5,POND,CHIRON,Mi244,6,,Y,N,N,N,N
DEC,2018,TSL,AH5,POND,COPEPOD,Mi245,1,,Y,N,N,N,N
DEC,2018,TSL,AH5,POND,BLUE MITE,Mi246,5,,Y,N,N,N,N
DEC,2018,TSL,AH5,POND,OSTRACOD,Mi247,11,,Y,N,N,N,N
DEC,2018,SRS,CATB,POND,BLUE MITE,Mi248,1,,Y,N,N,N,N
DEC,2018,SRS,CATB,POND,COPEPOD,Mi249**,102,**SAME AS Mi405,Y,Y,Y,Y,N
DEC,2018,SRS,CATB,NEAR POND,COPEPOD,Mi250**,33,**SAME AS Mi400,Y,Y,Y,Y,N
DEC,2018,SRS,AHWG16,NEAR POND,CHIRON,Mi251**,1,**SAME AS Mi421,Y,N,N,N,N
DEC,2018,SRS,AHWG16,POND,OSTRACOD,Mi252,9,**SAME AS Mi433,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,LONG ARMED BUG,Mi253,1,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,COENAG,Mi254,1,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,OSTRACOD,Mi255**,101,**SAME AS Mi255,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,OSTRACOD,Mi256**,,**SAME AS Mi255,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,OSTRACOD,Mi257**,,**SAME AS Mi255,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,PACLON,Mi258,2,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,EPHEME,Mi259,24,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,CLADOCERA,Mi260**,77,**SAME AS Mi260,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,CLADOCERA,Mi261**,,**SAME AS Mi260,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,CLADOCERA,Mi262**,,**SAME AS Mi260,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,BROWN MITE,Mi263,7,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,ROUND WORM,Mi264,2,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,AMPHIPOD,Mi265,73,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,COPEPOD,Mi266**,84,**SAME AS Mi266,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,COPEPOD,Mi267**,,**SAME AS Mi266,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,BLUE MITE,Mi268,47,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,UN ID BUG EYE,Mi269,1,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,ORANGE MITE,Mi270,8,,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,CHIRON,Mi271,37,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,NEAR POND,PLASCA,Mi272,3,CHANGED FROM MACDIL,Y,N,N,N,N
DEC,2018,TSL,AH3,NEAR POND,UN ID BUG,Mi273,1,,Y,N,N,N,N
DEC,2018,TSL,AH3,MARSH,ORANGE MITE,Mi274,1,,Y,N,N,N,N
DEC,2018,TSL,AH3,MARSH,CLADOCERA,Mi275,4,,Y,N,N,N,N
DEC,2018,TSL,AH3,MARSH,AMPHIPOD,Mi276,100,,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,MARSH,ROUND WORM,Mi277,7,,Y,N,N,N,N
DEC,2018,TSL,AH3,MARSH,OSTRACOD**,Mi278,150,**SAME AS Mi278,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,MARSH,OSTRACOD**,Mi279,,**SAME AS Mi278,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,MARSH,OSTRACOD**,Mi280,,**SAME AS Mi278,Y,Y,Y,Y,N
DEC,2018,TSL,AH3,MARSH,COPEPOD,Mi281,5,,Y,N,N,N,N
DEC,2018,TSL,AH3,MARSH,ODONATA,Mi282,1,,Y,N,N,N,N
