Date,Year,Season,Slough,Site,Habitat,Method,Species,ID,Count,Wet mass (g),Comments,Entered By,Checked By,Processed,-80 Freezer,Freeze Drier,Dried,Crushed,Isotope,Decarb
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP81,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP82,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP83,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP84,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP85,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP86,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP87,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP88,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP89,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP90,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP91,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP92,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP93,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP94,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP95,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP96,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/12/2018,2018,WET,TSL,AHMDB,MARSH,MT,PALPAL,PP97,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP98,21,2.04,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP99,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP100,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP101,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP102,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP103,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP104,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP105,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP106,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP107,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP108,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP109,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP110,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP111,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP112,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP113,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP114,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP115,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP116,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP117,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,MARSH,MT,PALPAL,PP118,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,NEAR POND,MT,PALPAL,PP119,1,0.044,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,NEAR POND,MT,PALPAL,PP120,1,0.083,,SS,VG,Y,Y,Y,Y,Y,N,N
12/3/2018,2018,WET,TSL,AH9,MARSH,MT,PALPAL,PP121,1,0.117,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP122,9,0.745,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP123,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP124,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP125,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP126,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP127,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP128,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP129,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH11,POND,MT,PALPAL,PP130,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/3/2019,2019,DRY,TSL,AH9,NEAR POND,MT,BELSPP,BS01,1,0.017,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP131,34,,forgot weight,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP132,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP133,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP134,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP135,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP136,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP137,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP138,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP139,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP140,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP141,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP142,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP143,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP144,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP145,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP146,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP147,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP148,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP149,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP150,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP151,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP152,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP153,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP154,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP155,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP156,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP157,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP158,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP159,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP160,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP161,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP162,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP163,,,,SS,VG,Y,Y,Y,Y,Y,N,N
11/16/2018,2018,WET,SRS,AH13,MARSH,MT,PALPAL,PP164,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PLASPP,PS01,1,0.053,,SS,VG,Y,N,N,N,N,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP165,43,2.594,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP166,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP167,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP168,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP169,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP170,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP171,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP172,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP173,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP174,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP175,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP176,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP177,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP178,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP179,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP180,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP181,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP182,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP183,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP184,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP185,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP186,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP187,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP188,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP189,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP190,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP191,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP192,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP193,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP194,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP195,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP196,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP197,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP198,,,,SS,VG,Y,Y,Y,Y,Y,N,N
12/13/2018,2018,WET,SRS,AHWG16,MARSH,MT,PALPAL,PP199,,,,SS,VG,Y,Y,Y,Y,Y,N,N
