ID,Diet_Item,Count,Volume,Comments
LG517,Amphipoda,2,0.001,NA
LG520,Amphipoda,1,0.001,NA
LG521,Amphipoda,2,0.001,NA
LG527,Amphipoda,1,0.001,NA
LG528,Amphipoda,2,0.005,NA
LG529,Amphipoda,1,0.001,NA
LG567,Amphipoda,1,0.001,NA
LG568,Amphipoda,2,0.001,NA
LG575,Amphipoda,1,0.001,NA
LG576,Amphipoda,2,0.001,NA
LG577,Amphipoda,4,0.001,NA
LG582,Amphipoda,3,0.005,NA
LG583,Amphipoda,1,0.005,NA
LG595,Amphipoda,2,0.005,NA
LG599,Amphipoda,1,0.005,NA
LG602,Amphipoda,1,0.005,NA
LG604,Amphipoda,1,0.005,NA
LG626,Amphipoda,1,0.005,NA
LG646,Amphipoda,2,0.005,NA
LG718,Amphipoda,2,0.01,NA
LG723,Amphipoda,1,0.01,NA
LG787,Amphipoda,8,0.005,NA
LG828,Amphipoda,1,0.005,NA
LG850,Amphipoda,1,0.005,NA
LG852,Amphipoda,1,0.005,NA
LG855,Amphipoda,2,0.005,NA
LG863,Amphipoda,1,0.005,NA
LG865,Amphipoda,2,0.005,NA
LG877,Amphipoda,1,0.005,NA
LG883,Amphipoda,3,0.005,NA
LG904,Amphipoda,3,0.01,NA
LG905,Amphipoda,5,0.01,NA
LG906,Amphipoda,3,0.005,NA
LG907,Amphipoda,4,0.005,NA
LG910,Amphipoda,1,0.001,NA
LG913,Amphipoda,3,0.005,NA
LG915,Amphipoda,3,0.005,NA
LG917,Amphipoda,2,0.005,NA
LMr106,Amphipoda,2,0.005,NA
LPu24,Amphipoda,2,0.05,NA
OA10,Amphipoda ,2,0.15,two amphipods
CL03,Amphipoda ,247,0.4,NA
LMi06,Amphipoda  ,2,0.005,NA
MA14,Anisoptera,1,0.3,head intact and most legs
CU85,Anisoptera,1,0.02,NA
AN30,Anisoptera,1,0.02,quite small; partial exoskeleton
CU69,Anisoptera,1,0.01,legs
LL52,Anisoptera,1,0.1,NA
CL03,Anisoptera,5,0.1,NA
CL04,Anisoptera,3,0.3,NA
CU29,Anisoptera,1,0.05,NA
LMi17,Anisoptera,2,0.3,NA
MC10,Anisoptera,1,0.6,adult
LL15,Anisoptera,1,0.025,NA
LL50,Anisoptera,1,0.1,NA
LP35,Anisoptera,1,0.1,NA
AN01,Anisoptera,3,0.17,NA
AN03,Anisoptera,2,0.14,NA
LL19,Anisoptera,1,0.03,NA
LL24,Anisoptera,2,0.1,NA
LMa23,Anisoptera,2,0.04,NA
CL12,Anisoptera,3,0.4,NA
CL13,Anisoptera,4,0.3,NA
CL15,Anisoptera,2,0.3,NA
LL61,Anisoptera,1,0.01,NA
MA15,Anisoptera,1,0.055,NA
EE13,Anisoptera,1,0.005,juvenile
EE39,Anisoptera,1,0.005,NA
LPu14,Anisoptera,1,0.01,NA
LP24,Anisoptera,1,0.01,NA
LS15,Anisoptera,2,0.005,pieces; not whole
LMa01,Anisoptera,1,0.02,NA
LMa02,Anisoptera,1,0.05,NA
LMa05,Anisoptera,1,0.01,head only
LMa08,Anisoptera,4,0.06,NA
LMa09,Anisoptera,1,0.01,NA
LMa10,Anisoptera,4,0.04,NA
LMa11,Anisoptera,3,0.002,NA
FC12,Anisoptera,2,0.001,NA
FC13,Anisoptera,1,0.015,NA
LMa27,Anisoptera,1,0.015,NA
FC66,Anisoptera,3,0.001,NA
LMr68,Anisoptera,1,0.01,NA
FC113,Anisoptera,1,0.01,NA
LMr90,Anisoptera,2,0.01,NA
FC116,Anisoptera,1,0.05,NA
FC117,Anisoptera,1,0.005,NA
FC156,Anisoptera,2,0.001,NA
FC162,Anisoptera,1,0.005,NA
FC167,Anisoptera,1,0.005,NA
FC186,Anisoptera,1,0.001,NA
FC196,Anisoptera,1,0.001,NA
FC214,Anisoptera,2,0.005,parasitic worms
LMr100,Anisoptera,1,0.005,NA
HF114,Anisoptera,1,0.001,NA
GH30,Anisoptera,1,0.001,juvenile
GH252,Anisoptera,1,0.01,NA
GH303,Anisoptera,1,0.005,NA
GH304,Anisoptera,1,0.01,NA
GH313,Anisoptera,1,0.005,NA
GH317,Anisoptera,1,0.005,NA
GH709,Anisoptera,1,0.005,NA
GH710,Anisoptera,1,0.01,NA
HM22,Anisoptera,1,0.05,NA
HM24,Anisoptera,1,0.05,parasitic worms
HM27,Anisoptera,1,0.05,NA
HM28,Anisoptera,1,0.03,NA
HM30,Anisoptera,1,0.06,NA
HM38,Anisoptera,1,0.02,NA
HM44,Anisoptera,1,0.1,NA
HM56,Anisoptera,2,0.12,parasitic worms
HM59,Anisoptera,1,0.03,NA
HM67,Anisoptera,1,0.08,NA
HM79,Anisoptera,1,0.02,NA
HM81,Anisoptera,1,0.08,NA
HM86,Anisoptera,1,0.06,NA
HM89,Anisoptera,1,0.06,NA
HM94,Anisoptera,1,0.1,NA
HM100,Anisoptera,1,0.02,NA
AG01,Anisoptera,1,0.02,NA
AN07,Anisoptera,1,0.01,NA
CL05,Anisoptera,1,0.8,NA
CM05,Anisoptera,2,0.07,NA
CU13,Anisoptera,1,0.1,NA
EG07,Anisoptera,1,0.02,NA
EG08,Anisoptera,1,0.01,NA
EG42,Anisoptera,1,0.01,NA
EG60,Anisoptera,1,0.03,NA
LL31,Anisoptera,1,0.09,NA
LG277,Anisoptera,1,0.005,NA
LG320,Anisoptera,1,0.001,NA
LG772,Anisoptera,1,0.01,NA
LG856,Anisoptera,4,0.005,NA
LG909,Anisoptera,1,0.005,NA
LG911,Anisoptera,1,0.005,NA
LG912,Anisoptera,3,0.005,NA
LG913,Anisoptera,20,0.01,NA
LG914,Anisoptera,1,0.005,NA
LG915,Anisoptera,9,0.01,NA
LG917,Anisoptera,1,0.005,NA
LMr104,Anisoptera,1,0.005,NA
LPu02,Anisoptera,1,0.75,NA
LPu24,Anisoptera,2,0.1,NA
LPu27,Anisoptera,1,0.08,NA
LPu28,Anisoptera,1,0.08,NA
FC35,Annelida,1,0.001,NA
FC53,Annelida,1,0.001,NA
FC60,Annelida,1,0.001,NA
LMa23,Araneae,1,0.02,NA
LS03,Araneae,3,0.005,NA
FC52,Araneae,1,0.001,NA
FC115,Araneae,1,0.001,NA
GH33,Araneae,1,0.005,NA
GH46,Araneae,1,0.01,NA
GH97,Araneae,1,0.01,ant
GH188,Araneae,2,0.005,NA
GH199,Araneae,1,0.05,NA
GH248,Araneae,4,0.005,NA
GH251,Araneae,2,0.01,NA
GH252,Araneae,1,0.005,NA
GH262,Araneae,1,0.01,NA
GH274,Araneae,1,0.005,NA
GH286,Araneae,2,0.015,NA
GH294,Araneae,1,0.005,NA
GH300,Araneae,1,0.005,NA
GH311,Araneae,4,0.005,NA
GH318,Araneae,3,0.005,NA
GH319,Araneae,1,0.001,NA
GH324,Araneae,1,0.005,NA
GH327,Araneae,2,0.2,NA
GH329,Araneae,1,0.005,NA
GH330,Araneae,3,0.05,NA
GH339,Araneae,1,0.001,NA
GH371,Araneae,1,0.005,NA
GH382,Araneae,4,0.005,NA
GH388,Araneae,1,0.005,NA
GH404,Araneae,3,0.05,NA
GH411,Araneae,1,0.05,NA
GH414,Araneae,1,0.005,NA
GH427,Araneae,1,0.005,NA
GH431,Araneae,1,0.005,NA
GH445,Araneae,1,0.005,NA
GH494,Araneae,1,0.01,NA
GH502,Araneae,1,0.005,NA
GH511,Araneae,1,0.05,NA
GH512,Araneae,1,0.01,NA
GH519,Araneae,6,0.05,NA
GH531,Araneae,1,0.01,NA
GH535,Araneae,2,0.01,NA
GH540,Araneae,1,0.01,NA
GH543,Araneae,1,0.01,NA
GH703,Araneae,2,0.01,NA
GH708,Araneae,1,0.01,NA
FCo31,Araneae,3,0.02,NA
GH312,Argulus,1,0.005,NA
GH318,Argulus,1,0.005,NA
AC03,Belostoma,1,0.3,just exoskeleton and pieces of legs
LPu36,Belostoma,1,0.01,nymph
MA10,Belostoma,1,0.25,NA
MC15,Belostoma,1,0.2,NA
LMr100,Belostoma,1,0.005,NA
GH584,Belostoma,1,0.2,nymph
GH585,Belostoma,1,0.2,nymph
HM62,Belostoma,1,0.01,nymph
AN18,Belostoma,1,1,NA
LPu28,Belostoma,1,0.21,NA
SL14,Bivalvia,2,0.1,NA
AN07,Bivalvia,1,0.01,NA
EG13,Bivalvia,1,0.005,NA
EG14,Bivalvia,5,0.015,NA
EG15,Bivalvia,4,0.02,NA
EG42,Bivalvia,8,0.03,NA
EG55,Bivalvia,12,0.03,NA
EG56,Bivalvia,10,0.03,NA
EG60,Bivalvia,1,0.01,NA
PX02,Bivalvia,1,0.001,NA
SL03,Bivalvia,1,0.005,NA
SL12,Bivalvia,1,0.01,NA
LG278,Bivalvia,1,0.005,NA
LG360,Bivalvia,1,0.005,NA
LG443,Bivalvia,1,0.005,NA
LG588,Bivalvia,1,0.001,NA
LG601,Bivalvia,1,0.005,NA
LG639,Bivalvia,1,0.001,NA
LG739,Bivalvia,1,0.005,NA
LG743,Bivalvia,3,0.01,NA
LG746,Bivalvia,1,0.005,NA
LG796,Bivalvia,1,0.005,NA
LG864,Bivalvia,1,0.005,NA
LG910,Bivalvia,1,0.005,NA
LG911,Bivalvia,1,0.005,NA
CU69,Blue Mite,3,0.001,NA
LS06,Blue Mite,1,0.001,NA
LS14,Blue Mite,1,0.001,NA
LS18,Blue Mite,1,0.001,NA
LS44,Blue Mite,4,0.001,NA
LS45,Blue Mite,4,0.001,NA
LS46,Blue Mite,4,0.001,NA
NP66,Blue Mite,6,0.001,NA
NP116,Blue Mite,1,0.001,NA
LMa11,Blue Mite,56,0.001,NA
LMa13,Blue Mite,12,0.001,NA
LMa14,Blue Mite,16,0.001,NA
LMa15,Blue Mite,41,0.03,NA
LMa16,Blue Mite,6,0.001,NA
LMa18,Blue Mite,41,0.001,NA
LMa19,Blue Mite,25,0.008,NA
LMa20,Blue Mite,2,0.001,NA
LMa22,Blue Mite,24,0.001,NA
FC52,Blue Mite,1,0.001,NA
FC57,Blue Mite,4,0.001,NA
FC58,Blue Mite,2,0.001,NA
FC64,Blue Mite,1,0.001,NA
FC65,Blue Mite,3,0.001,NA
FC67,Blue Mite,1,0.001,NA
FC95,Blue Mite,1,0.001,NA
FC113,Blue Mite,2,0.001,NA
FC115,Blue Mite,2,0.001,NA
FC117,Blue Mite,3,0.001,NA
FC122,Blue Mite,4,0.001,NA
FC124,Blue Mite,1,0.001,NA
FC154,Blue Mite,1,0.001,NA
FC168,Blue Mite,1,0.001,NA
HF16,Blue Mite,3,0.001,NA
HF23,Blue Mite,4,0.001,NA
HF81,Blue Mite,1,0.001,NA
HF87,Blue Mite,1,0.001,NA
HF88,Blue Mite,2,0.001,NA
HF90,Blue Mite,3,0.001,NA
HF96,Blue Mite,1,0.001,NA
HF139,Blue Mite,1,0.001,NA
HF176,Blue Mite,1,0.001,NA
HF221,Blue Mite,1,0.001,NA
HF256,Blue Mite,1,0.001,NA
HF264,Blue Mite,1,0.001,NA
HF275,Blue Mite,1,0.001,NA
GH26,Blue Mite,1,0.001,NA
GH34,Blue Mite,1,0.001,NA
GH54,Blue Mite,1,0.001,NA
GH185,Blue Mite,1,0.001,NA
GH188,Blue Mite,5,0.001,NA
GH192,Blue Mite,3,0.001,NA
GH197,Blue Mite,1,0.001,NA
GH198,Blue Mite,3,0.001,NA
GH283,Blue Mite,1,0.001,NA
GH286,Blue Mite,1,0.001,NA
GH287,Blue Mite,1,0.001,NA
GH290,Blue Mite,2,0.001,NA
GH311,Blue Mite,1,0.001,NA
GH314,Blue Mite,1,0.001,NA
GH316,Blue Mite,1,0.001,NA
GH317,Blue Mite,1,0.001,NA
GH322,Blue Mite,2,0.001,NA
GH328,Blue Mite,2,0.001,NA
GH331,Blue Mite,4,0.001,NA
GH332,Blue Mite,1,0.001,NA
GH411,Blue Mite,1,0.001,NA
GH412,Blue Mite,1,0.001,NA
GH415,Blue Mite,1,0.001,NA
GH427,Blue Mite,1,0.001,NA
GH433,Blue Mite,3,0.001,NA
GH478,Blue Mite,1,0.001,NA
GH492,Blue Mite,3,0.001,NA
GH503,Blue Mite,1,0.001,NA
GH519,Blue Mite,1,0.001,NA
GH531,Blue Mite,1,0.001,NA
GH561,Blue Mite,1,0.001,NA
GH563,Blue Mite,2,0.001,NA
GH631,Blue Mite,1,0.001,NA
GH642,Blue Mite,1,0.001,NA
GH647,Blue Mite,1,0.001,NA
GH652,Blue Mite,1,0.001,NA
GH700,Blue Mite,1,0.001,NA
GH714,Blue Mite,1,0.001,NA
HM21,Blue Mite,1,0.001,NA
HM25,Blue Mite,2,0.001,NA
HM28,Blue Mite,4,0.001,parasitic worms
HM32,Blue Mite,3,0.005,NA
HM33,Blue Mite,2,0.001,NA
HM39,Blue Mite,1,0.001,NA
HM43,Blue Mite,1,0.001,NA
HM64,Blue Mite,1,0.001,NA
HM78,Blue Mite,3,0.001,NA
HM79,Blue Mite,1,0.001,NA
HM80,Blue Mite,1,0.001,NA
HM82,Blue Mite,1,0.001,NA
HM83,Blue Mite,1,0.001,NA
HM87,Blue Mite,1,0.001,NA
HM106,Blue Mite,1,0.001,NA
CU33,Blue Mite,1,0.001,NA
CU73,Blue Mite,1,0.001,NA
EU01,Blue Mite,2,0.001,NA
EU05,Blue Mite,1,0.001,NA
EU07,Blue Mite,2,0.001,NA
EU10,Blue Mite,1,0.001,NA
EU12,Blue Mite,2,0.001,NA
EU16,Blue Mite,2,0.001,NA
EU23,Blue Mite,2,0.001,NA
LG259,Blue Mite,1,0.001,NA
LG361,Blue Mite,3,0.001,NA
LG362,Blue Mite,1,0.001,NA
LG401,Blue Mite,1,0.001,NA
LG410,Blue Mite,1,0.001,NA
LG456,Blue Mite,1,0.001,NA
LG473,Blue Mite,1,0.001,NA
LG482,Blue Mite,1,0.001,NA
LG502,Blue Mite,3,0.001,NA
LG503,Blue Mite,4,0.001,NA
LG507,Blue Mite,1,0.001,NA
LG516,Blue Mite,2,0.001,NA
LG517,Blue Mite,3,0.001,NA
LG520,Blue Mite,2,0.001,NA
LG527,Blue Mite,1,0.001,NA
LG529,Blue Mite,2,0.001,NA
LG565,Blue Mite,1,0.001,NA
LG573,Blue Mite,1,0.001,NA
LG578,Blue Mite,1,0.001,NA
LG579,Blue Mite,1,0.001,NA
LG580,Blue Mite,2,0.001,NA
LG581,Blue Mite,1,0.001,NA
LG599,Blue Mite,1,0.001,NA
LG639,Blue Mite,1,0.001,NA
LG647,Blue Mite,1,0.001,NA
LG727,Blue Mite,2,0.001,NA
LG738,Blue Mite,1,0.001,NA
LG739,Blue Mite,1,0.001,NA
LG757,Blue Mite,2,0.001,NA
LG784,Blue Mite,1,0.001,NA
LG792,Blue Mite,4,0.001,NA
LG793,Blue Mite,2,0.001,NA
LG862,Blue Mite,1,0.001,NA
LG872,Blue Mite,1,0.001,NA
LG879,Blue Mite,2,0.001,NA
LG891,Blue Mite,1,0.001,NA
LG897,Blue Mite,1,0.001,NA
LS03,Brown Mite,3,0.001,head capsule
LS04,Brown Mite,1,0.001,NA
LS06,Brown Mite,3,0.001,NA
LS07,Brown Mite,3,0.001,NA
LS08,Brown Mite,5,0.001,NA
LS13,Brown Mite,3,0.001,NA
LS15,Brown Mite,1,0.001,NA
LS16,Brown Mite,4,0.001,NA
LS19,Brown Mite,3,0.001,NA
LS21,Brown Mite,1,0.001,NA
LS44,Brown Mite,1,0.001,NA
NP18,Brown Mite,1,0.001,body only no legs
FC55,Brown Mite,1,0.001,NA
FC92,Brown Mite,6,0.001,NA
FC93,Brown Mite,1,0.001,NA
FC95,Brown Mite,1,0.001,NA
FC186,Brown Mite,2,0.001,NA
FC188,Brown Mite,1,0.001,NA
HF32,Brown Mite,4,0.001,NA
HF86,Brown Mite,1,0.001,NA
HF102,Brown Mite,1,0.001,NA
HF107,Brown Mite,1,0.001,NA
HF115,Brown Mite,1,0.001,NA
HF176,Brown Mite,1,0.001,NA
HF188,Brown Mite,1,0.001,NA
HF199,Brown Mite,2,0.001,NA
HF202,Brown Mite,1,0.001,NA
HF258,Brown Mite,1,0.001,NA
GH29,Brown Mite,1,0.001,NA
GH34,Brown Mite,1,0.001,NA
GH38,Brown Mite,5,0.001,NA
GH72,Brown Mite,1,0.001,NA
GH192,Brown Mite,2,0.001,NA
GH198,Brown Mite,4,0.001,NA
GH252,Brown Mite,1,0.001,NA
GH253,Brown Mite,1,0.001,NA
GH258,Brown Mite,3,0.001,NA
GH319,Brown Mite,1,0.001,NA
GH332,Brown Mite,1,0.001,NA
GH371,Brown Mite,1,0.001,NA
GH372,Brown Mite,3,0.001,NA
GH388,Brown Mite,1,0.001,NA
GH412,Brown Mite,1,0.001,NA
GH503,Brown Mite,1,0.001,NA
GH511,Brown Mite,1,0.001,NA
GH561,Brown Mite,1,0.001,NA
LG309,Brown Mite,1,0.001,NA
LG329,Brown Mite,1,0.001,NA
LG363,Brown Mite,1,0.001,NA
LG364,Brown Mite,4,0.001,NA
LG389,Brown Mite,1,0.001,NA
LG396,Brown Mite,3,0.001,NA
LG397,Brown Mite,1,0.001,NA
LG398,Brown Mite,2,0.001,NA
LG399,Brown Mite,1,0.001,NA
LG401,Brown Mite,2,0.001,NA
LG402,Brown Mite,1,0.001,NA
LG441,Brown Mite,1,0.001,NA
LG445,Brown Mite,1,0.001,NA
LG460,Brown Mite,2,0.001,NA
LG479,Brown Mite,1,0.001,NA
LG482,Brown Mite,3,0.001,NA
LG565,Brown Mite,1,0.001,NA
LG566,Brown Mite,1,0.001,NA
LG572,Brown Mite,1,0.001,NA
LG573,Brown Mite,2,0.001,NA
LG637,Brown Mite,1,0.001,NA
LG726,Brown Mite,1,0.001,NA
LG740,Brown Mite,2,0.001,NA
LG741,Brown Mite,3,0.001,NA
LG750,Brown Mite,1,0.001,NA
LG792,Brown Mite,3,0.005,NA
LG852,Brown Mite,1,0.001,NA
LG855,Brown Mite,1,0.001,NA
LG860,Brown Mite,3,0.001,NA
LG861,Brown Mite,2,0.001,NA
LG862,Brown Mite,2,0.001,NA
LG864,Brown Mite,2,0.001,NA
LG865,Brown Mite,1,0.001,NA
LG875,Brown Mite,2,0.001,NA
LG908,Brown Mite,2,0.001,NA
AC05,Centrarchid,1,58,~5 in; L. gulosus(?)
CL03,Chironomid,1,0.001,NA
CL11,Chironomid,1,0.001,head capsule only
EE02,Chironomid,1,0.001,head capsule
EE11,Chironomid,1,0.001,head capsule only
EE13,Chironomid,2,0.001,head capsule
EE47,Chironomid,2,0.001,1 while; 1 head capsule
EE52,Chironomid,1,0.001,NA
EE53,Chironomid,1,0.001,head capsule
EE66,Chironomid,1,0.001,NA
EE68,Chironomid,4,0.001,head capsules only
EE69,Chironomid,1,0.001,head capsule
EE70,Chironomid,1,0.001,NA
EE72,Chironomid,1,0.001,head capsule
LS14,Chironomid,1,0.001,NA
NP09,Chironomid,1,0.001,NA
NP22,Chironomid,1,0.001,head capsule
NP64,Chironomid,1,0.001,head capsule
FC44,Chironomid,2,0.001,2 head capsules
FC48,Chironomid,1,0.001,1 head capsule
FC109,Chironomid,1,0.001,NA
FC114,Chironomid,1,0.001,head capsule
FC127,Chironomid,3,0.001,NA
FC128,Chironomid,2,0.001,NA
FC143,Chironomid,2,0.001,NA
FC155,Chironomid,1,0.001,NA
FC163,Chironomid,2,0.001,NA
FC166,Chironomid,1,0.001,NA
FC168,Chironomid,4,0.001,head capsules
FC197,Chironomid,1,0.001,NA
HF24,Chironomid,4,0.001,whole individuals
HF28,Chironomid,2,0.001,NA
HF29,Chironomid,9,0.001,NA
HF33,Chironomid,1,0.001,NA
HF38,Chironomid,1,0.001,head capsule
HF60,Chironomid,1,0.001,NA
HF64,Chironomid,1,0.001,NA
HF66,Chironomid,1,0.001,NA
HF81,Chironomid,1,0.001,NA
HF83,Chironomid,3,0.001,head capsules only
HF86,Chironomid,1,0.001,NA
HF88,Chironomid,2,0.001,NA
HF102,Chironomid,3,0.001,NA
HF105,Chironomid,3,0.001,NA
HF114,Chironomid,3,0.001,head capsules
HF115,Chironomid,2,0.001,head capsules
HF173,Chironomid,1,0.001,head capsule
HF189,Chironomid,2,0.001,1 whole; 1 head capsule
HF200,Chironomid,1,0.001,whole body
HF202,Chironomid,1,0.001,NA
HF210,Chironomid,1,0.001,NA
HF211,Chironomid,2,0.001,NA
HF213,Chironomid,1,0.001,NA
HF221,Chironomid,1,0.001,whole body
HF222,Chironomid,1,0.001,whole body
HF223,Chironomid,4,0.001,2 whole; 2 head capsules
HF225,Chironomid,1,0.001,whole body
HF269,Chironomid,2,0.001,NA
HF271,Chironomid,5,0.001,NA
HF272,Chironomid,11,0.001,NA
HF273,Chironomid,2,0.001,NA
HF275,Chironomid,4,0.001,NA
HF276,Chironomid,16,0.001,NA
GH47,Chironomid,1,0.001,head capsule
GH51,Chironomid,2,0.001,NA
GH72,Chironomid,1,0.001,NA
GH93,Chironomid,3,0.001,2 whole; 1 head capsule
GH156,Chironomid,1,0.001,head capsule
GH161,Chironomid,2,0.001,whole
GH257,Chironomid,1,0.001,head capsule only
GH274,Chironomid,1,0.001,head capsulle only
GH284,Chironomid,1,0.001,whole
GH298,Chironomid,2,0.001,head and partial body
GH303,Chironomid,3,0.001,head capsules only
GH317,Chironomid,6,0.005,5 whole; 1 head capsule
GH321,Chironomid,3,0.001,NA
GH323,Chironomid,4,0.001,NA
GH329,Chironomid,1,0.001,NA
GH331,Chironomid,1,0.001,NA
GH416,Chironomid,1,0.001,NA
GH423,Chironomid,1,0.001,head capsule only
GH513,Chironomid,2,0.005,whole
GH642,Chironomid,1,0.001,NA
GH655,Chironomid,14,0.005,NA
GH656,Chironomid,27,0.01,NA
GH657,Chironomid,14,0.005,NA
GH658,Chironomid,19,0.005,NA
GH659,Chironomid,3,0.001,NA
GH676,Chironomid,2,0.001,NA
GH699,Chironomid,10,0.005,NA
GH700,Chironomid,7,0.001,NA
GH701,Chironomid,6,0.001,NA
GH702,Chironomid,5,0.001,NA
GH704,Chironomid,4,0.001,NA
GH705,Chironomid,18,0.01,NA
GH706,Chironomid,4,0.001,NA
GH707,Chironomid,14,0.001,NA
GH708,Chironomid,11,0.001,NA
GH709,Chironomid,22,0.005,NA
GH710,Chironomid,16,0.005,NA
GH711,Chironomid,2,0.001,NA
GH712,Chironomid,4,0.001,NA
GH714,Chironomid,7,0.005,NA
GH715,Chironomid,3,0.001,NA
HM77,Chironomid,1,0.001,NA
HM79,Chironomid,1,0.001,head capsule only
EG06,Chironomid,6,0.001,NA
EG07,Chironomid,3,0.001,NA
EG08,Chironomid,7,0.001,NA
EG09,Chironomid,9,0.001,NA
EU01,Chironomid,3,0.001,head capsule only
EU02,Chironomid,12,0.001,head capsule only
EU03,Chironomid,6,0.001,NA
EU05,Chironomid,4,0.001,NA
EU06,Chironomid,6,0.001,NA
EU08,Chironomid,2,0.001,NA
EU09,Chironomid,6,0.001,NA
EU10,Chironomid,11,0.001,NA
FCo11,Chironomid,12,0.005,NA
PX01,Chironomid,2,0.001,NA
PX03,Chironomid,1,0.001,NA
SL02,Chironomid,1,0.001,NA
SL03,Chironomid,7,0.005,NA
LL67,Chironomid,1,0.001,parasitic worms
LG260,Chironomid,3,0.001,NA
LG267,Chironomid,3,0.001,NA
