"","ID","MDS1","MDS2","size_class","Invasion_Status","Habitat","Season","Length","Wet_Weight"
"31","PL98",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Dry",30.71,0.761
"32","PL97",-0.118636232551354,-0.447957059652321,"P.lat2","Post-Invasion","Pond","Dry",25.11,0.482
"33","PL96",0.321363513498337,-1.03071274330902,"P.lat2","Post-Invasion","Pond","Dry",25.2,0.487
"34","PL95",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Dry",23.1,0.374
"35","PL83",-0.367525449769387,-0.335684050991028,"P.lat2","Post-Invasion","Marsh","Dry",29.44,0.653
"36","PL82",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Marsh","Dry",31.99,0.869
"37","PL65",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Wet",24.37,0.487
"38","PL64",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Wet",34.08,1.084
"39","PL63",0.0664216254546258,-1.10187902152722,"P.lat2","Post-Invasion","Pond","Wet",32.93,1.02
"40","PL48",0.321363513498337,-1.03071274330902,"P.lat1","Post-Invasion","Pond","Wet",14.39,0.105
"41","PL47",0.459238038948433,-0.821092824922466,"P.lat1","Post-Invasion","Pond","Wet",15.84,0.12
"42","PL46",0.321363513498337,-1.03071274330902,"P.lat1","Post-Invasion","Pond","Wet",19.17,0.209
"43","PL45",0.459238038948433,-0.821092824922466,"P.lat1","Post-Invasion","Pond","Wet",18.74,0.17
"44","PL44",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Wet",23.42,0.351
"45","PL43",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Wet",27.64,0.651
"46","PL42",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Pond","Wet",26.11,0.52
"47","PL41",0.321363513498337,-1.03071274330902,"P.lat2","Post-Invasion","Pond","Wet",26.77,0.539
"48","PL40",0.0664216254546259,-1.10187902152721,"P.lat2","Post-Invasion","Pond","Wet",27.99,0.615
"49","PL121",-0.118636232551354,-0.447957059652321,"P.lat2","Post-Invasion","Pond","Dry",58.75,5.48
"50","PL07",0.459238038948433,-0.821092824922466,"P.lat1","Post-Invasion","Pond","Wet",13.31,0.038
"51","PL04",0.459238038948433,-0.821092824922466,"P.lat2","Post-Invasion","Marsh","Wet",23.29,0.336
"52","PL03",0.321363513498337,-1.03071274330902,"P.lat2","Post-Invasion","Marsh","Wet",26.98,0.463
"53","OA27",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Dry",72.56,15.406
"54","OA26",-0.304496724705041,-0.252075332242022,"O.aur1","Post-Invasion","Pond","Wet",80.18,20.926
"55","OA25",-0.319623011257737,-0.995160029823565,"O.aur1","Post-Invasion","Pond","Wet",79.33,21.095
"56","OA22",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Wet",142,100
"57","OA20",-0.796759967446869,-0.572781033150746,"O.aur1","Post-Invasion","Marsh","Wet",150,150
"58","OA19",-0.570084372724175,-0.399737893801411,"O.aur1","Post-Invasion","Marsh","Wet",184,240
"59","OA16",-0.0219183504399354,-0.452242200290193,"O.aur1","Post-Invasion","Marsh","Wet",182,280
"60","OA15",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Wet",154,210
"61","OA13",-0.790390418727272,-0.486313885175233,"O.aur1","Post-Invasion","Marsh","Wet",260,610
"62","OA12",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Wet",192,290
"63","OA10",-0.229464914299625,0.0127966148846614,"O.aur1","Post-Invasion","Marsh","Wet",190,300
"64","OA08",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Wet",198,340
"65","OA07",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Marsh","Wet",202,400
"66","OA02",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Pond","Wet",311,350
"67","OA01",-0.367525449769387,-0.335684050991028,"O.aur1","Post-Invasion","Pond","Wet",260,195.085
"68","NV02",-0.721339362259399,-0.512928569884095,"N.vir1","Post-Invasion","Marsh","Dry",47.37,0.543
"69","NR01",-0.367525449769387,-0.335684050991028,"N.gyr1","Post-Invasion","Marsh","Dry",39.35,1.084
"70","NP117",0.0113912711134112,-0.472586548816257,"N.pet1","Post-Invasion","Pond","Wet",21.95,0.167
"71","NP116",0.296276962199478,-0.679313553359699,"N.pet1","Post-Invasion","Pond","Wet",20.93,0.137
"72","NF01",0.274102564229962,-0.513625964402945,"N.flo1","Post-Invasion","Pond","Dry",380,24.929
"73","MS79",0.112401544534844,-0.501850096057229,"M.sia1","Post-Invasion","Marsh","Wet",190,110
"74","MS59",0.274102564229962,-0.513625964402945,"M.sia1","Post-Invasion","Pond","Wet",160,21.56
"75","MS58",0.274102564229962,-0.513625964402945,"M.sia1","Post-Invasion","Pond","Wet",170,26.426
"76","MS42",0.274102564229962,-0.513625964402945,"M.sia1","Post-Invasion","Pond","Wet",190,30.668
"77","MS25",-0.573397407447634,-0.33024849988466,"M.sia1","Post-Invasion","Pond","Wet",172,24.173
"78","MS21",-0.573397407447634,-0.33024849988466,"M.sia1","Post-Invasion","Pond","Wet",225,49.953
"79","MS20",-0.573397407447634,-0.33024849988466,"M.sia1","Post-Invasion","Pond","Wet",165,24.697
"80","MC44",0.274102564229962,-0.513625964402945,"M.sal1","Post-Invasion","Pond","Dry",220,290
"81","MC43",-1.11929599730785,-0.537061578031223,"M.sal1","Post-Invasion","Pond","Wet",342,850
"82","MC35",-1.11929599730785,-0.537061578031223,"M.sal1","Post-Invasion","Pond","Wet",200,150
"83","MC22",-0.573397407447634,-0.33024849988466,"M.sal1","Post-Invasion","Pond","Wet",249,350
"84","MC15",-1.17721894438296,-0.380426027070482,"M.sal1","Post-Invasion","Pond","Wet",300,400
"85","MC09",-1.41210279737458,0.073176766380396,"M.sal1","Post-Invasion","Pond","Wet",300,650
"86","MC04",-0.573397407447634,-0.33024849988466,"M.sal1","Post-Invasion","Pond","Wet",435,950
"87","MC02",-0.573397407447634,-0.33024849988466,"M.sal1","Post-Invasion","Pond","Wet",410,700
"88","MA10",-1.17721894438296,-0.380426027070482,"M.alb4","Post-Invasion","Pond","Wet",640,212.246
"89","LPu36",-1.2347009455517,0.22059727912243,"L.pun3","Post-Invasion","Pond","Dry",134.01,81.914
"90","LPu34",-0.299391039160724,0.405162658537406,"L.pun3","Post-Invasion","Marsh","Dry",95.63,38.247
"91","LPu33",-0.708850091330603,0.0725107788964208,"L.pun2","Post-Invasion","Marsh","Dry",88.36,27.225
"92","LPu32",-0.307596936071244,0.194575434230288,"L.pun2","Post-Invasion","Marsh","Dry",74.5,17.011
"93","LPu31",-0.781940404449132,0.362934686733078,"L.pun2","Post-Invasion","Marsh","Dry",65.48,10.989
"94","LPu30",-1.00622872639139,-0.174615096456474,"L.pun2","Post-Invasion","Marsh","Dry",67.31,10.735
"95","LPu29",-1.1662241641763,-0.539852446237717,"L.pun2","Post-Invasion","Marsh","Dry",65.57,11.135
"96","LPu28",-0.80521150589641,0.688678662981851,"L.pun2","Post-Invasion","Marsh","Dry",60.03,8.714
"97","LPu27",-0.732056356655847,0.673477500925516,"L.pun2","Post-Invasion","Marsh","Dry",57.95,7.767
"98","LPu26",0.535384063527044,-0.110172435682069,"L.pun2","Post-Invasion","Pond","Dry",56.97,7.509
"99","LPu25",-0.335925729052993,1.14780524340845,"L.pun2","Post-Invasion","Marsh","Wet",41.54,1.845
"100","LPu24",-0.095815396503032,0.666122948027751,"L.pun2","Post-Invasion","Marsh","Wet",59.71,6.272
"101","LPu23",-0.304496724705041,-0.252075332242022,"L.pun2","Post-Invasion","Pond","Dry",58.95,7.283
"102","LPu22",-0.307596936071244,0.194575434230288,"L.pun3","Post-Invasion","Pond","Dry",98.08,39.482
"103","LPu21",-0.29959635180509,1.0232772063943,"L.pun2","Post-Invasion","Pond","Dry",44.94,3.256
"104","LPu20",-0.29959635180509,1.0232772063943,"L.pun2","Post-Invasion","Pond","Dry",41.11,2.048
"105","LPu19",-0.291162205948309,1.12529166681964,"L.pun2","Post-Invasion","Pond","Wet",69.42,11.48
"106","LPu18",-0.708850091330603,0.0725107788964208,"L.pun2","Post-Invasion","Pond","Wet",70.51,13.299
"107","LPu17",-0.456940843119924,0.299536375941869,"L.pun2","Post-Invasion","Pond","Wet",61.42,8.672
"108","LPu14",-0.375217642813221,0.293147900731792,"L.pun3","Post-Invasion","Pond","Wet",94.49,34.992
"109","LPu13",-0.857313544560381,0.0297820825698213,"L.pun2","Post-Invasion","Pond","Wet",63.28,10.787
"110","LPu12",-0.761644048938726,0.526846394315347,"L.pun2","Post-Invasion","Pond","Wet",71.27,14.341
"111","LPu11",-0.909438736497787,0.402068978499149,"L.pun2","Post-Invasion","Pond","Wet",69.98,15.168
"112","LPu10",-0.249969642445904,-0.657983590450152,"L.pun2","Post-Invasion","Pond","Wet",62.75,9.503
"113","LPu02",-0.648420151841184,0.346455451754244,"L.pun2","Post-Invasion","Marsh","Wet",70.57,14.296
"114","LP42",-0.573397407447634,-0.33024849988466,"L.pla2","Post-Invasion","Pond","Wet",490,850
"115","LP41",-0.570084372724175,-0.399737893801411,"L.pla2","Post-Invasion","Pond","Wet",540,1200
"116","LP40",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Wet",359,270
"117","LP39",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Dry",270,106.957
"118","LP37",0.274102564229962,-0.513625964402945,"L.pla1","Post-Invasion","Pond","Wet",300,200
"119","LP36",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Wet",283,120
"120","LP35",-0.0854683732011178,-0.896703349392699,"L.pla1","Post-Invasion","Pond","Wet",280,100
"121","LP34",0.274102564229962,-0.513625964402945,"L.pla1","Post-Invasion","Pond","Wet",200,120
"122","LP32",-0.794718866234137,-0.0190759482180129,"L.pla1","Post-Invasion","Pond","Wet",118,45.318
"123","LP31",0.69207808703293,-0.496391510408114,"L.pla1","Post-Invasion","Pond","Wet",105,38.038
"124","LP30",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Wet",280,115.985
"125","LP29",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Wet",280,115.767
"126","LP28",-1.17721894438296,-0.380426027070482,"L.pla2","Post-Invasion","Pond","Wet",490,750
"127","LP27",-0.573397407447634,-0.33024849988466,"L.pla2","Post-Invasion","Pond","Wet",463,700
"128","LP25",-1.24991589507329,0.556815143240946,"L.pla1","Post-Invasion","Pond","Wet",430,500
"129","LP24",-0.201945287152836,-0.972109327765985,"L.pla1","Post-Invasion","Pond","Dry",280,150
"130","LP20",-0.118636232551354,-0.447957059652321,"L.pla1","Post-Invasion","Pond","Wet",412,350
"131","LP19",-0.118636232551354,-0.447957059652321,"L.pla1","Post-Invasion","Pond","Wet",272,100
"132","LP18",-0.118636232551354,-0.447957059652321,"L.pla1","Post-Invasion","Pond","Wet",238.3,320
"133","LP17",-1.41210279737458,0.073176766380396,"L.pla1","Post-Invasion","Pond","Dry",250,75
"134","LP16",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Dry",200,50
"135","LP14",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Dry",281,145
"136","LP10",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Dry",360,235
"137","LP08",-0.573397407447634,-0.33024849988466,"L.pla1","Post-Invasion","Pond","Dry",272,120
"138","LP07",-0.708850091330603,0.0725107788964208,"L.pla1","Post-Invasion","Pond","Dry",282,120
"139","LP05",0.274102564229962,-0.513625964402945,"L.pla1","Post-Invasion","Pond","Dry",322,210
"140","LP04",0.274102564229962,-0.513625964402945,"L.pla1","Post-Invasion","Pond","Dry",330,175
"141","LP01",0.274102564229962,-0.513625964402945,"L.pla1","Post-Invasion","Pond","Dry",280,140
"142","LMr90",-0.706492046905095,0.341844598545677,"L.mar1","Post-Invasion","Pond","Wet",45.92,3.888
"143","LMr89",0.0817247211201448,0.864763668329581,"L.mar1","Post-Invasion","Pond","Wet",47.06,3.705
"144","LMr71",0.713705930665181,-1.6092211012355,"L.mar1","Post-Invasion","Pond","Wet",39.09,2.252
"145","LMr69",-0.878719105549242,-0.439590366348519,"L.mar1","Post-Invasion","Pond","Dry",34.95,1.573
"146","LMr68",-0.747461284890592,0.345992592468586,"L.mar1","Post-Invasion","Pond","Dry",57.87,5.639
"147","LMr67",-0.573397407447634,-0.33024849988466,"L.mar1","Post-Invasion","Pond","Dry",52.37,4.94
"148","LMr30",-0.573397407447634,-0.33024849988466,"L.mar1","Post-Invasion","Pond","Dry",37.08,2.016
"149","LMr106",0.489259981567545,0.349181596655284,"L.mar1","Post-Invasion","Marsh","Dry",46.29,3.049
"150","LMr105",0.235887742206359,-0.128916267349583,"L.mar1","Post-Invasion","Marsh","Dry",35.06,1.752
"151","LMr104",-0.13935127716209,0.543985955380064,"L.mar1","Post-Invasion","Marsh","Dry",30.43,1.571
"152","LMr103",0.290450127744524,0.125930064023704,"L.mar1","Post-Invasion","Pond","Dry",48.92,3.958
"153","LMr102",0.302981528557298,0.0366390742243515,"L.mar1","Post-Invasion","Pond","Dry",56.91,5.077
"154","LMr100",-0.136632612323994,0.906260760651595,"L.mar1","Post-Invasion","Pond","Dry",52.66,4.28
"155","LMi29",-0.307596936071244,0.194575434230288,"L.mic1","Post-Invasion","Marsh","Dry",99.71,34.076
"156","LMi27",-0.307596936071244,0.194575434230288,"L.mic2","Post-Invasion","Pond","Wet",108.96,49.603
"157","LMi19",-0.307596936071244,0.194575434230288,"L.mic1","Post-Invasion","Pond","Wet",87.44,28.31
"158","LMi18",-0.307596936071244,0.194575434230288,"L.mic2","Post-Invasion","Pond","Wet",105.52,43.886
"159","LMi16",-0.307596936071244,0.194575434230288,"L.mic1","Post-Invasion","Marsh","Wet",77.07,88.93
"160","LMi15",-0.307596936071244,0.194575434230288,"L.mic1","Post-Invasion","Pond","Wet",95.27,117.18
"161","LMi14",-0.307596936071244,0.194575434230288,"L.mic2","Post-Invasion","Pond","Wet",122,50
"162","LMi13",-0.708850091330603,0.0725107788964208,"L.mic2","Post-Invasion","Pond","Wet",120,50
"163","LMi11",-0.293924437998747,0.166882107938357,"L.mic2","Post-Invasion","Marsh","Wet",172,150
"164","LMi09",-0.370919252354636,0.351052719767301,"L.mic1","Post-Invasion","Marsh","Wet",88.9,25.855
"165","LMi08",-0.316701757776359,0.219835300290584,"L.mic1","Post-Invasion","Marsh","Wet",95.57,31.993
"166","LMi07",-0.307596936071244,0.194575434230288,"L.mic2","Post-Invasion","Marsh","Wet",109.1,55.381
"167","LMi06",-0.270550040675619,0.298745981669489,"L.mic2","Post-Invasion","Marsh","Wet",170,72.958
"168","LMa32",-0.115771611997761,0.845716626177579,"L.mac1","Post-Invasion","Pond","Wet",61.21,7.909
"169","LMa26",0.782358436989433,-0.577514939527624,"L.mac1","Post-Invasion","Pond","Dry",98.88,34.451
"170","LMa24",-0.0197131775122694,0.303998943242467,"L.mac1","Post-Invasion","Pond","Wet",91.74,27.975
"171","LMa22",0.149791887979901,-0.813576346670857,"L.mac1","Post-Invasion","Pond","Wet",60.85,7.021
"172","LMa21",-0.304496724705041,-0.252075332242022,"L.mac1","Post-Invasion","Pond","Dry",40.95,2.206
"173","LMa20",-0.870074517039085,0.222647609389897,"L.mac1","Post-Invasion","Pond","Wet",58.2,6.205
"174","LMa19",0.116362840936244,-0.656831125246374,"L.mac1","Post-Invasion","Pond","Wet",64.47,9.809
"175","LMa18",0.15579541311854,-0.638655031770681,"L.mac1","Post-Invasion","Pond","Wet",92.16,26.43
"176","LMa17",-1.06368503170421,-0.276722769104539,"L.mac1","Post-Invasion","Marsh","Wet",108.23,48.559
"177","LMa16",0.28156864185678,0.740078777865923,"L.mac1","Post-Invasion","Marsh","Wet",81.25,19.39
"178","LMa15",0.144325117874035,-0.685675550839514,"L.mac1","Post-Invasion","Marsh","Wet",82.64,21.454
"179","LMa14",0.135638893048383,-0.702689160605475,"L.mac1","Post-Invasion","Marsh","Wet",86.93,24.12
"180","LMa13",0.170491516938538,-0.731834263574628,"L.mac1","Post-Invasion","Marsh","Wet",86.32,23.268
"181","LMa12",0.000162414580533387,0.60952907958616,"L.mac1","Post-Invasion","Marsh","Wet",85.47,20.38
"182","LMa11",0.146074858223488,0.939496632805561,"L.mac1","Post-Invasion","Marsh","Wet",86.21,22.735
"183","LMa10",-0.0768943759032191,0.885651331678759,"L.mac1","Post-Invasion","Marsh","Wet",95.75,33.59
"184","LMa09",0.00734992884136687,-0.381887952557931,"L.mac1","Post-Invasion","Marsh","Wet",95.13,30.472
"185","LMa08",-0.648462665461758,0.270438373034642,"L.mac1","Post-Invasion","Marsh","Wet",98.33,31.572
"186","LMa07",-0.443180534161567,0.182758250141513,"L.mac1","Post-Invasion","Marsh","Wet",103.94,43.345
"187","LMa06",0.0226513996567139,-0.396322908829103,"L.mac1","Post-Invasion","Marsh","Wet",78.54,16.492
"188","LMa05",0.38941236436451,0.931404495797487,"L.mac1","Post-Invasion","Marsh","Wet",84.43,18.41
"189","LMa04",0.0160245820548373,-0.529421899462448,"L.mac1","Post-Invasion","Marsh","Wet",84.9,19.574
"190","LMa03",0.00213560241221695,-0.393314663705327,"L.mac1","Post-Invasion","Marsh","Wet",86.2,21.862
"191","LMa02",0.23690253912747,0.522972254102621,"L.mac1","Post-Invasion","Marsh","Wet",81.29,19.349
"192","LMa01",-0.456982224251076,0.763819736268091,"L.mac1","Post-Invasion","Marsh","Wet",93.21,31.863
"193","LL68",-0.573397407447634,-0.33024849988466,"L.gul4","Post-Invasion","Pond","Dry",123.57,69.776
"194","LL67",0.143262644312544,0.0425459850794462,"L.gul2","Post-Invasion","Pond","Dry",80.46,16.292
"195","LL66",-0.367525449769387,-0.335684050991028,"L.gul2","Post-Invasion","Pond","Dry",71.95,13.022
"196","LL65",-0.0610112412971548,-0.750170586839773,"L.gul2","Post-Invasion","Pond","Dry",73.5,12.659
"197","LL61",-0.725628249617695,-0.20832847056491,"L.gul4","Post-Invasion","Pond","Dry",133.6,150
"198","LL60",0.677126216186909,-0.153204223527471,"L.gul2","Post-Invasion","Pond","Dry",86.9,23.374
"199","LL59",-0.304496724705041,-0.252075332242022,"L.gul2","Post-Invasion","Pond","Dry",86.64,24.069
"200","LL57",-0.367525449769387,-0.335684050991028,"L.gul2","Post-Invasion","Pond","Dry",72.16,18.26
"201","LL55",-0.281987433441301,-0.854672752825814,"L.gul3","Post-Invasion","Pond","Dry",103.27,42.026
"202","LL54",-1.24991589507329,0.556815143240946,"L.gul3","Post-Invasion","Pond","Dry",98.48,35.536
"203","LL52",-1.08752592069706,0.45973335669501,"L.gul3","Post-Invasion","Pond","Wet",105.57,56.446
"204","LL51",-1.17111126806061,0.35167076517675,"L.gul3","Post-Invasion","Pond","Wet",114.52,73.037
"205","LL50",-0.724330241107003,0.12591612057692,"L.gul4","Post-Invasion","Pond","Wet",125.26,90.806
"206","LL49",-0.573397407447634,-0.33024849988466,"L.gul3","Post-Invasion","Pond","Wet",110.1,60.339
"207","LL45",-0.29959635180509,1.0232772063943,"L.gul3","Post-Invasion","Pond","Wet",116.1,70.97
"208","LL37",-0.29959635180509,1.0232772063943,"L.gul3","Post-Invasion","Pond","Wet",104.13,46.956
"209","LL33",-0.367525449769387,-0.335684050991028,"L.gul2","Post-Invasion","Pond","Wet",90.65,32.676
"210","LL31",-0.922263220874746,-0.0447255721546776,"L.gul1","Post-Invasion","Pond","Wet",68.78,15.225
"211","LL30",-0.573397407447634,-0.33024849988466,"L.gul3","Post-Invasion","Pond","Wet",102.57,43.822
"212","LL28",-1.11929599730785,-0.537061578031223,"L.gul3","Post-Invasion","Pond","Wet",115.6,66.83
"213","LL27",-0.299391039160724,0.405162658537406,"L.gul4","Post-Invasion","Pond","Wet",122.48,90.525
"214","LL26",-0.708850091330603,0.0725107788964208,"L.gul2","Post-Invasion","Pond","Wet",76.05,17.927
"215","LL25",1.33523213702314,-0.297188604228291,"L.gul2","Post-Invasion","Pond","Wet",89.09,27.079
"216","LL24",-0.0115012672090004,1.04007910689817,"L.gul4","Post-Invasion","Pond","Wet",120.13,76.472
"217","LL22",-1.2347009455517,0.22059727912243,"L.gul3","Post-Invasion","Pond","Wet",106.01,49.444
"218","LL21",-1.24991589507329,0.556815143240946,"L.gul3","Post-Invasion","Pond","Wet",104.67,49.22
"219","LL19",-0.770959343549744,0.112012813262807,"L.gul2","Post-Invasion","Pond","Wet",94.44,36.923
"220","LL18",-0.367525449769387,-0.335684050991028,"L.gul2","Post-Invasion","Pond","Dry",86.18,22.524
"221","LL15",-0.288257769321268,-0.704183002170114,"L.gul4","Post-Invasion","Pond","Dry",124.16,100
"222","LL14",-0.573397407447634,-0.33024849988466,"L.gul3","Post-Invasion","Pond","Dry",105.48,55
"223","LL13",0.274102564229962,-0.513625964402945,"L.gul3","Post-Invasion","Pond","Dry",110.2,55
"224","LL11",-0.573397407447634,-0.33024849988466,"L.gul1","Post-Invasion","Pond","Dry",63.45,7.759
"225","LL09",-0.281987433441301,-0.854672752825814,"L.gul3","Post-Invasion","Pond","Dry",97.34,38.558
"226","LL08",-0.329684004120786,-0.71556774818195,"L.gul3","Post-Invasion","Pond","Dry",99.67,35.927
"227","LL07",-0.570084372724175,-0.399737893801411,"L.gul3","Post-Invasion","Pond","Dry",107.32,35.797
"228","LL06",-0.570084372724175,-0.399737893801411,"L.gul2","Post-Invasion","Pond","Dry",89.37,23.06
"229","LL05",0.274102564229962,-0.513625964402945,"L.gul3","Post-Invasion","Pond","Dry",102.01,38.665
"230","LL04",-0.367525449769387,-0.335684050991028,"L.gul2","Post-Invasion","Pond","Dry",75.35,15.987
"231","LL03",0.0810899827250287,-0.695364263513776,"L.gul3","Post-Invasion","Pond","Dry",118.64,80
"232","LL02",-0.573397407447634,-0.33024849988466,"L.gul4","Post-Invasion","Pond","Dry",120.5,80
"233","LG897",-0.0963505672770759,-0.741470123533382,"L.goo1","Post-Invasion","Pond","Dry",16.63,0.083
"234","LG893",-0.118636232551354,-0.447957059652321,"L.goo1","Post-Invasion","Pond","Dry",16.42,0.063
"235","LG892",0.31746238882282,-0.0828119096554772,"L.goo1","Post-Invasion","Pond","Dry",16.77,0.075
"236","LG891",-0.124641125361773,-0.614439144104781,"L.goo1","Post-Invasion","Pond","Dry",16.31,0.062
"237","LG890",-0.118636232551354,-0.447957059652321,"L.goo1","Post-Invasion","Pond","Dry",16.48,0.083
"238","LG889",-0.118636232551354,-0.447957059652321,"L.goo1","Post-Invasion","Pond","Dry",16.87,0.105
"239","LG883",0.344763939555066,0.19654951021657,"L.goo1","Post-Invasion","Marsh","Dry",15.5,0.07
"240","LG882",0.304461286105441,-0.189013638449139,"L.goo1","Post-Invasion","Marsh","Dry",15.18,0.053
"241","LG881",0.298105687399637,-0.0999361088435212,"L.goo1","Post-Invasion","Marsh","Dry",11.91,0.032
"242","LG880",0.501947305071439,0.0737580466823401,"L.goo1","Post-Invasion","Marsh","Dry",12.76,0.042
"243","LG879",0.331735645495,-0.22066389844826,"L.goo1","Post-Invasion","Marsh","Dry",14.08,0.065
"244","LG878",0.450469125317886,-0.0989696289774181,"L.goo2","Post-Invasion","Marsh","Dry",18.49,0.146
"245","LG877",0.206738715366663,0.673409217473248,"L.goo2","Post-Invasion","Marsh","Dry",21.48,0.163
"246","LG876",0.304461286105441,-0.189013638449139,"L.goo1","Post-Invasion","Marsh","Dry",17.28,0.093
"247","LG875",0.414985252739163,-0.0468538710290238,"L.goo1","Post-Invasion","Marsh","Dry",15.94,0.065
"248","LG874",0.302606402696641,-0.100696289383067,"L.goo1","Post-Invasion","Marsh","Dry",14.42,0.058
"249","LG873",0.303415279948054,-0.101665279773315,"L.goo1","Post-Invasion","Marsh","Dry",13.47,0.06
"250","LG872",0.336456098785054,-0.120225615690673,"L.goo1","Post-Invasion","Marsh","Dry",12.08,0.034
"251","LG865",0.439223466111973,0.148016405371327,"L.goo2","Post-Invasion","Marsh","Dry",18.66,0.131
"252","LG864",0.392693832213376,0.0715988312016886,"L.goo2","Post-Invasion","Marsh","Dry",20.27,0.165
